cluster,dband.grouped,label,run_num,ord_num
cl2,40,40,1,1
cl2,50,50,2,1
cl2,60,60,3,1
cl2,70,70,4,1
cl2,80,80,5,1
cl2,90,90,6,1
cl3,100,100,7,7
cl3,110,110,8,7
cl3,120,120,9,7
cl3,130,130,10,7
cl3,140,140,11,7
cl3,150,150,12,7
cl3,160,160,13,7
cl3,170,170,14,7
cl3,180,180,15,7
cl1,190,190,16,16
cl1,200,200,17,16
cl1,210,210,18,16
cl1,220,220,19,16
cl1,230,230,20,16
cl1,240,240,21,16
