"","dband","location","spric","fric","feve","raoq"
"1",40,"Curacao",12,0.630635401466416,0.600191156600011,0.0147804736031775
"2",50,"Curacao",17,0.773764653809693,0.687194123124665,0.015790448142643
"3",60,"Curacao",20,0.849846543093883,0.71399840065498,0.0153798103344604
"4",70,"Curacao",23,0.880979653358243,0.658668237142024,0.0200100848434279
"5",80,"Curacao",21,0.935301633692229,0.633805779433936,0.0187977945892902
"6",90,"Curacao",28,0.93530163369223,0.485676062606042,0.0207416691505207
"7",100,"Curacao",24,0.842078595060609,0.564266827041233,0.0237250138076711
"8",110,"Curacao",23,0.935301633692229,0.497867654390076,0.0211965380420872
"9",120,"Curacao",28,0.93530163369223,0.521900850189417,0.0191567006628238
"10",130,"Curacao",23,0.945356831435504,0.514136647355239,0.0178420291438403
"11",140,"Curacao",17,0.935301633692229,0.697977110181492,0.0197203965807036
"12",150,"Curacao",24,0.785291290732826,0.608225146236163,0.016411531304173
"13",160,"Curacao",24,0.690017207713388,0.522543058532984,0.013678119737904
"14",170,"Curacao",19,0.64787313814088,0.574092769034529,0.0134323899522994
"15",180,"Curacao",27,0.836127934036908,0.485633930660622,0.0134189124283125
"16",190,"Curacao",18,0.71653352738641,0.608688824828478,0.0132165760811905
"17",200,"Curacao",17,0.836127934036908,0.674111475828023,0.013964554606224
"18",210,"Curacao",16,0.520028624731354,0.737798257868365,0.0123597236139641
"19",220,"Curacao",16,0.63655151703589,0.567315360621987,0.0113110348812238
"20",230,"Curacao",18,0.647873138140881,0.5625,0.0102453640867684
"21",240,"Curacao",15,0.64787313814088,0.615384615384615,0.00960135391430342
"22",250,"Curacao",11,0.277059525004061,0.755628150210409,0.0102298383451132
"23",260,"Curacao",7,0.577526835296691,0.820789609692564,0.0109082705583842
"24",270,"Curacao",8,0.132418960147631,0.811234734279729,0.010200349250905
"25",280,"Curacao",8,0.16350317663086,0.736693995422334,0.00777507517012126
"26",290,"Curacao",6,0.0702640611523287,0.402399009078533,0.0104578267011291
"27",300,"Curacao",5,0.133008586347397,0.551963953271568,0.00277094126754065
"28",40,"Bonaire",16,0.682385963731646,0.702110107475851,0.0214370592573216
"29",50,"Bonaire",25,0.680503767380144,0.595805853533211,0.0202957772307502
"30",60,"Bonaire",27,0.468355134771798,0.669300445733165,0.022727497689442
"31",70,"Bonaire",23,0.71706634285678,0.764350902611291,0.0235332926183215
