,Acanthurus coeruleus,Acanthurus tractus,Anisotremus surinamensis,Antilligobius nikkiae,Apogon gouldi,Apogon maculatus,Apogon pseudomaculatus,Baldwinella vivanus,Bathyanthias sp.,Bellator brachychir,Bellator egretta,Bodianus rufus,Bollmannia boqueronensis,Bollmannia eigenmanni,Bullisichthys caribbaeus,Canthigaster jamestyleri,Canthigaster rostrata,Carangoides bartholomaei,Carangoides ruber,Caranx latus,Caulolatilus dooleyi,Caulolatilus plumieri,Centropyge argi,Cephalopholis cruentata,Chaetodon sedentarius,Chaetodon striatus,Choranthias tenuis,Chrionema squamentum,Chromis cyanea,Chromis enchrysura,Chromis insolata,Chromis multilineata,Chromis scotti,Clepticus parrae,Corniger spinosus,Coryphopterus curasub,Decodon shallow,Equetus lanceolatus,Fistularia sp.,Flammeo marianus,Gnatholepis thompsoni,Gonioplectrus hispanus,Gramma loreto,Gymnothorax funebris,Gymnothorax moringa,Gymnothorax ocellatus,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon striatum,Halichoeres bathyphilus,Halichoeres garnoti,Hemanthias leptus,Holacanthus ciliaris,Holocentrus adscensionis,Hypoplectrus chlorurus,Hyporthodus niveatus,Jeboehlkia gladifer,Lactophrys triqueter,Liopropoma aberrans,Liopropoma carmabi,Liopropoma mowbrayi,Liopropoma olneyi,Lipogramma evides,Lipogramma klayi,Lipogramma levinsoni,Malacanthus plumieri,Mulloidichthys martinicus,Muraena retifera,Mycteroperca bonaci,Mycteroperca interstitialis,Myripristis jacobus,Neoniphon coruscum,Ocyurus chrysurus,Ogcocephalus parvus,Ostichthys trachypoma,Oxyurichthys stigmalophius,Palatogobius incendius,Paranthias furcifer,Paroncheilus affinis,Peristedion brevirostre,Physiculus fulvus,Pinnichthys aimoriensis,Plectranthias sp.,Pomacanthus arcuatus,Pomacanthus paru,Pontinus castor,Priolepis hipoliti,Pristigenys alta,Pristipomoides aquilonaris,Pristipomoides freemani,Prognathodes aculeatus,Prognathodes guyanensis,Pronotogrammus martinicensis,Psilotris laurae,Ptereleotris helenae,Rypticus maculatus,Rypticus saponaceous,Sargocentron bullisi,Scarus taeniopterus,Scarus vetula,Scorpaena brasiliensis,Scorpaenodes barrybrowni,Serranus atrobranchus,Serranus chionaraia,Serranus luciopercanus,Serranus notospilus,Serranus phoebe,Serranus tabacarius,Serranus tigrinus,Serranus tortugarum,Sparisoma viride,Sphyraena barracuda,Stegastes partitus,Syacium gunteri,Symphysanodon octoactinus,Synagrops bellus,Synagrops egretta,Varicus cephalocellatus,Varicus decorum,Xanthichthys ringens
200 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.899974677,0,0,0,0,0,0,2.193901783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096950891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.096950891,0,0,0,0,1.096950891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210 m,0,0,0,0,0,0,0,0,2.088596691,1.205851862,1.205851862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088596691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.088596691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.705332057,0,0,0,0,0,0,0,0,0,0,1.205851862,0,0,0
220 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066095794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066095794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230 m,0,0,0,0,0,0,0,0,0,0,1.282300802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282300802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.282300802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746976648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.139112011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.201610761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.630568417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01934209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.958811866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40 m,1.067340216,0,1.067340216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.067340216,0,0,0,0,0,13.58502308,1.509447009,2.614438912,0,0,0,0,0,0,0,0,0,0,0,1.067340216,0,0,0,0,0,0,0,1.067340216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.823916776,0,0,0,0,0,1.067340216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.067340216,0,0,0,0,0,0,0,2.386645278,0,0,0,0,0,0,0,0,0,0,0,1.067340216,1.067340216,5.336701081,0,0,0,0,0,0,1.067340216
50 m,0.999997949,0.999997949,0,0,0,0,0,0,0,0,0,1.732047256,0,0,0,0,0.999997949,0,0.999997949,0,0,0,0,0,0,1.414210663,0,0,11.95823622,0,5.744550867,0,0.999997949,3.31661799,0,0,0,0,0,0,0,0,0,0.999997949,0,0,0,1.414210663,0,0,2.999993848,0,0,0.999997949,1.732047256,0,0,0,0,0,0,0,0,0,0,0,4.795821689,0,0,0,0,0,0,0,0,0,0,5.099009058,0,0,0,0,0,0,0.999997949,0,0,0,0,0,1.414210663,0,0,0,0,0,0,0,2.236063392,0,0,0,0,0,0,0,0,0.999997949,0.999997949,0,0.999997949,0,6.708190177,0,0,0,0,0,0,2.645745886
60 m,0,0,0,4.490115919,0,0,0,0,0,0,0,1.419899326,0,0,0,0,0,0,0,0,0,0,2.008040885,2.008040885,0,2.008040885,0,0,5.119519827,0,1.419899326,2.839798653,0,2.008040885,0,0,0,0,0,1.419899326,0,0,0,0,0,0,0,2.459337775,2.839798653,0,2.008040885,0,0,0,0,0,0,0,0,0,0,0,0,1.419899326,0,2.459337775,0,0,1.419899326,1.419899326,0,0,0,0,0,0,0,5.679597305,0,0,0,0,0,0,0,0,0,0,0,0,2.008040885,0,0,0,2.459337775,0,1.419899326,0,2.459337775,1.419899326,0,0,0,0,0,0,0,1.419899326,0,0,1.419899326,0,6.809597949,0,0,0,0,0,0,4.91867555
70 m,0,0,0,1.443977335,0,0,1.443977335,0,0,0,0,0,7.908989587,0,0,0,1.443977335,0,1.443977335,0,0,0,6.126276991,0,0,0,0,0,2.887954669,3.228831478,3.53700767,4.566257267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.443977335,0,0,0,0,0,0,2.04209233,0,1.443977335,0,0,0,1.443977335,0,2.04209233,0,0,0,0,0,0,0,0,0,0,3.53700767,0,0,0,0,0,0,2.04209233,0,0,0,0,0,0,0,0,0,0,2.501042109,0,0,0,0,0,0,0,0,3.228831478,0,0,1.443977335,0,0,2.04209233,0,0,2.501042109,0,0,0,0,0,0,3.228831478
80 m,0,0,0,4.981589074,0,0,0,0,0,0,0,0,1.087071858,1.087071858,1.537351765,0,1.537351765,0,0,0,0,0,2.662771365,1.087071858,0,2.662771365,0,0,1.537351765,4.738436372,1.882863689,0,0,0,0,2.174143716,1.537351765,0,0,1.087071858,1.087071858,0,0,0,0,0,0,1.087071858,0,4.861533141,0,0,1.087071858,0,0,0,0,0,0,1.537351765,2.43076657,0,0,1.537351765,0,1.537351765,0,0,1.087071858,0,1.087071858,0,0,0,1.087071858,0,0,10.92493696,20.33725223,0,0,0,0,0,0,0,0,0,0,0,1.087071858,0,1.537351765,0,3.919493323,1.087071858,0,0,0,0,0,0,0,1.537351765,1.087071858,0,3.074703529,0,0,1.882863689,0,0,0,0,0,0,0,0,0,0
90 m,0,0,0,10.95283894,0,0,0,0,0,0,0,0,0,0,0,0,1.541278118,3.446402643,0,0,1.089848209,0,1.541278118,4.623834353,2.179696417,0,0,0,0,6.806099882,1.089848209,0,0,1.089848209,0,0,3.269544626,1.541278118,0,1.089848209,0,0,0,0,0,0,0,0,6.892805287,0,1.089848209,0,0,1.88767247,0,0,0,0,0,0,1.089848209,0,0,1.541278118,0,1.88767247,1.089848209,0,1.089848209,0,0,1.089848209,1.089848209,0,0,1.541278118,0,7.706390588,6.539089252,0,0,0,0,0,0,0,0,0,0,0,1.089848209,0,6.892805287,0,2.179696417,0,1.089848209,0,0,0,0,0,0,1.089848209,2.669572008,0,2.179696417,0,0,0,0,0,0,0,0,0,0,0,0,0
