species,Size cm
Halichoeres socialis,5.5
Lachnolaimus maximus,91
Polylepion species A,15
Thalassoma bifasciatum,15
Xyrichtys martinicensis,15
Xyrichtys novacula,25
Xyrichtys splendens,15
Labridae scarinae,
Cryptotomus roseus,13
Nicholsina usta,30
Scarus coelestinus,77
Scarus coeruleus,120
Scarus guacamaia,120
Scarus iseri,27
Scarus taeniopterus,30
Scarus vetula,50
Sparisoma atomarium,15
Sparisoma aurofrenatum,28
Sparisoma axillare,43
Sparisoma chrysopterum,46
Sparisoma griseorubrum,27
Sparisoma radians,20
Sparisoma rubripinne,48
Sparisoma viride,64
Labrisomidae,
Brockius albigenys,6.5
Brockius nigricinctus,6.7
Gobioclinus bucciferus,9
Gobioclinus filamentosus,12
Gobioclinus gobio,6.4
Gobioclinus guppyi,10.8
Gobioclinus haitiensis,7.1
Gobioclinus kalisherae,8.3
Haptoclinus apectolophus,3.1
Haptoclinus dropi,2.6
Labrisomus conditus,22
Labrisomus cricota,16.2
Labrisomus nuchipinnis,22
Malacoctenus aurolineatus,7.5
Malacoctenus boehlkei,6.4
Malacoctenus delalandii,8.2
Malacoctenus erdmani,3.8
Malacoctenus gilli,7.5
Malacoctenus macropus,5.2
Malacoctenus triangulatus,5.8
Malacoctenus versicolor,7.8
Nemaclinus atelestos,3.8
Paraclinus barbatus,5
Paraclinus cingulatus,2.4
Paraclinus fasciatus,6.1
Paraclinus grandicomis,3.8
Paraclinus infrons,2.4
Paraclinus marmoratus,7.8
Paraclinus naeorhegmis,2.8
Paraclinus nigripinnis,5
Starksia atlantica,2.5
Starksia culebrae,3.7
Starksia elongata,3.2
Starksia fasciata,2.7
Starksia greenfieldi,2.5
Starksia guttata,4.6
Starksia hassi,4
Starksia langi,2.3
Starksia lepicoelia,2.8
Starksia leucovitta,3.6
Starksia melasma,2.5
Starksia nanodes,2.2
Starksia occidentalis,3.6
Starksia ocellata,6
Starksia rava,3
Starksia robertsoni,3.5
Starksia sangreyae,2.1
Starksia sella,3.1
Starksia sluiteri,2.5
Starksia smithvanizi,2.3
Starksia species A,2.5
Starksia species B,2.1
Starksia splendens,2.2
Starksia springeri,2.1
Starksia starcki,4
Starksia variabilis,4
Starksia weigti,3.5
Starksia williamsi,3.5
Starksia y-lineata,2.5
Lamnidae,
Carcharodon carcharias,600
Isurus oxyrinchus,396
Isurus paucus,430
Lamna nasus,355
Lamprididae,
Lampris megalopsis,185
Lepisosteidae,
Atractosteus spatula,300
Atractosteus tristoechus,200
Lepisosteus oculatus,109
Lepisosteus osseus,160
Lepisosteus platyrhincus,132
Lobotidae,
Lobotes surinamensis,110
Lophiidae,
Lophiodes beroe,44
Lophiodes monodi,39
Lophiodes reticulatus,30
Lophius americanus,120
Lophius gastrophysus,60
Sladenia shaefersi,101
Lutjanidae,
Apsilus dentatus,65
Etelis oculatus,95
Lutjanus analis,94
Lutjanus apodus,67.2
Lutjanus buccanella,75
Lutjanus campechanus,100
Lutjanus cyanopterus,160
Lutjanus griseus,66
Lutjanus jocu,128
Lutjanus mahogoni,48
Lutjanus purpureus,100
Lutjanus synagris,71
Lutjanus vivanus,84
Ocyurus chrysurus,86.3
Pristipomoides aquilonaris,56
Pristipomoides freemani,23.3
Pristipomoides macrophthalmus,50
Rhomboplites aurorubens,63
Luvaridae,
Luvarus imperialis,200
Malacanthidae,
Caulolatilus bermudensis,41
Caulolatilus chrysops,60
Caulolatilus cyanops,46
Caulolatilus dooleyi,35
Caulolatilus guppyi,35
Caulolatilus intermedius,31
Caulolatilus microps,90
Caulolatilus williamsi,61
Lopholatilus chamaeleonticeps,125
Malacanthus plumieri,60
Megachasmidae,
Megachasma pelagios,710
Megalopidae,
Megalops atlanticus,263
Merlucciidae,
Merluccius albidus,70
Merluccius bilinearis,76
Steindachneria argentea,30
Mitsukurinidae,
Mitsukurina owstoni,617
Mobulidae,
Mobula birostris,700
Mobula hypostoma,125
Mobula mobular,350
Mobula species A,500
Mobula tarapacana,370
Mobula thurstoni,180
Molidae,
Masturus lanceolatus,259
Mola mola,368
Ranzania laevis,200
Monacanthidae,
Aluterus heudelotii,30
Aluterus monoceros,76
Aluterus schoepfii,60
Aluterus scriptus,110
Cantherhines macrocerus,40
Cantherhines pullus,20
Monacanthus ciliatus,12.7
Monacanthus tuckeri,9
Stephanolepis hispidus,18
Stephanolepis setifer,20
Moridae,
Laemonema barbatulum,40
Physiculus fulvus,15
Moringuidae,
Moringua edwardsi,60
Neoconger mucronatus,30
Moronidae,
Morone chrysops,45
Morone mississippiensis,46
Morone saxatilis,200
Mugilidae,
Dajaus monticola,36
Joturus pichardi,61
Mugil cephalus,135
Mugil curema,91
Mugil curvidens,54
Mugil incilis,40
Mugil liza,100
Mugil longicauda,53
Mugil margaritae,34
Mugil rubrioculus,33
Mugil trichodon,30
Mullidae,
Mulloidichthys martinicus,40
Mullus auratus,27
Pseudupeneus maculatus,30
Upeneus parvus,20
Muraenesocidae,
Cynoponticus savanna,200
Muraenidae,
Anarchias similis,20.6
Channomuraena vittata,150
Echidna catenata,71
Enchelycore anatina,120
Enchelycore carychroa,33.5
Enchelycore nigricans,100
Gymnothorax conspersus,110
Gymnothorax funebris,189
Gymnothorax hubbsi,34
Gymnothorax kolpos,93
Gymnothorax maderensis,104
Gymnothorax miliaris,70
Gymnothorax moringa,200
Gymnothorax nigromarginatus,99
Gymnothorax ocellatus,61
Gymnothorax polygonius,84
Gymnothorax saxicola,62
Gymnothorax vicinus,122
Monopenchelys acuta,21
Muraena pavonina,67
Muraena retifera,90
Muraena robusta,186
Uropterygius macularius,29
Myliobatidae,
Myliobatis freminvillii,106
Myliobatis goodei,99
Narcinidae,
Benthobatis marcida,50
Diplobatis colombiensis,17
Diplobatis guamachensis,20
Diplobatis picta,18
Narcine bancroftii,65
Nettastomatidae,
Facciolella species A,63
Hoplunnis diomediana,54.3
Hoplunnis macrura,54.2
Hoplunnis megista,109.5
Hoplunnis similis,49.3
Hoplunnis tenuis,58
Nettastoma melanurum,78
Nettastoma syntresis,55
Nettenchelys exoria,46.7
Nettenchelys inion,42.3
Nettenchelys pygmaea,20.1
Saurenchelys cognita,52
Saurenchelys species A,51.4
Venefica procera,109
Nomeidae,
Cubiceps capensis,126
Cubiceps gracilis,92
Cubiceps pauciradiatus,20
Nomeus gronovii,40
Psenes arafurensis,25
Psenes cyanophrys,20
Psenes pellucidus,80
Odontaspididae,
Carcharias taurus,318
Odontaspis ferox,450
Odontaspis noronhai,427
Ogcocephalidae,
Dibranchus atlanticus,39.4
Halieutichthys aculeatus,8.8
Halieutichthys bispinosus,10.1
Halieutichthys caribbaeus,7.5
Halieutichthys intermedius,8.3
Malthopsis gnoma,7.3
Ogcocephalus corniger,23
Ogcocephalus cubifrons,38
Ogcocephalus declivirostris,16.5
Ogcocephalus nasutus,38
Ogcocephalus notatus,17
Ogcocephalus pantostictus,31
Ogcocephalus parvus,10
Ogcocephalus pumilus,8.3
Ogcocephalus rostellum,19
Zalieutes mcgintyi,10
Ophichthidae,
Ahlia egmontis,47
Aplatophis chauliodus,84
Aprognathodon platyventris,46
Apterichtus ansp,42
Apterichtus kendalli,54.2
Bascanichthys bascanium,79
Bascanichthys gaira,48
Bascanichthys inopinatus,81.3
Bascanichthys scuticaris,77
Callechelys bilinearis,173
Callechelys guineensis,107
Callechelys muraena,60
Callechelys springeri,79.7
Caralophia loxochila,45.6
Echiophis intertinctus,124
Echiophis punctifer,180
Ethadophis akkistikos,31.6
Gordiichthys ergodes,34
Gordiichthys irretitus,79
Gordiichthys leibyi,42.5
Gordiichthys randalli,67
Hyphalophis devius,29
Ichthyapus ophioneus,48
Kertomichthys blastorhinos,42
Letharchus velifer,57.8
Lethogoleos andersoni,31.8
Mixomyrophis pusillipinna,41
Myrichthys breviceps,102
Myrichthys ocellatus,110
Myrophis anterodorsalis,16.1
Myrophis platyrhynchus,20.8
Myrophis plumbeus,47
Myrophis punctatus,35.3
Ophichthus cruentifer,46.7
Ophichthus cylindroideus,93.3
Ophichthus gomesii,91.4
Ophichthus hyposagmatus,38.5
Ophichthus melanoporus,70
Ophichthus menezesi,28
Ophichthus omorgmus,45.3
Ophichthus ophis,210
Ophichthus puncticeps,92.7
Ophichthus rex,211
Ophichthus spinicauda,108
Phaenomonas longissima,56
Pseudomyrophis frio,30.8
Pseudomyrophis fugesae,9.5
Pseudomyrophis nimius,37
Quassiremus ascensionis,71
Ophidiidae,
Brotula barbata,100
Lepophidium aporrhox,19.3
Lepophidium brevibarbe,28
Lepophidium collettei,17
Lepophidium crossotum,17.5
Lepophidium cultratum,33
Lepophidium entomelan,27
Lepophidium gilmorei,18
Lepophidium jeannae,30.5
Lepophidium kallion,17.5
Lepophidium marmoratum,23
Lepophidium pheromystax,28
Lepophidium profundorum,26.5
Lepophidium robustum,24
Lepophidium staurophor,28
Lepophidium wileyi,21.5
Lepophidium zophochir,26
Monomitopus agassizii,19.5
Neobythites elongatus,14.5
Neobythites gilli,15.2
Neobythites marginatus,24
Neobythites monocellatus,17
Neobythites multidigitatus,8.5
Neobythites multiocellatus,15.2
Neobythites unicolor,13.7
Ophidion antipholus,25.1
Ophidion dromio,20.4
Ophidion grayi,30
Ophidion guianense,15.3
Ophidion holbrookii,30
Ophidion josephi,28.4
Ophidion lagochila,7
Ophidion marginatum,25
Ophidion nocomis,8.7
Ophidion selenops,10
Otophidium chickcharney,10.5
Otophidium dormitator,7.5
Otophidium omostigma,13
Parophidion schmidti,10
Petrotyx sanguineus,20
Opistognathidae,
Anoptoplacus pygmaeus,3.1
Lonchopisthus ancistrus,14.7
Lonchopisthus higmani,19.7
Lonchopisthus lemur,11.4
Lonchopisthus micrognathus,17.8
Opistognathus aurifrons,12.7
Opistognathus gilberti,7.5
Opistognathus leprocarus,7.8
Opistognathus lonchurus,15.2
Opistognathus macrognathus,20
Opistognathus maxillosus,15.3
Opistognathus megalepis,5.6
Opistognathus melachasme,9.5
Opistognathus nothus,7.9
Opistognathus robinsi,15.9
Opistognathus schrieri,5.7
Opistognathus signatus,8
Opistognathus whitehursti,7.8
Ostraciidae,
Acanthostracion polygonius,50
Acanthostracion quadricornis,55
Lactophrys bicaudalis,48
Lactophrys trigonus,55
Lactophrys triqueter,30
Oxynotidae,
Oxynotus caribbaeus,55
Paralichthyidae,
Ancylopsetta antillarum,36
Ancylopsetta cycloidea,25
Ancylopsetta dilecta,25
Ancylopsetta kumperae,25
Ancylopsetta microctenus,24
Ancylopsetta ommata,25
Citharichthys abbotti,17.5
Citharichthys amblybregmatus,14
Citharichthys arctifrons,18
Citharichthys arenaceus,20
Citharichthys cornutus,10
Citharichthys dinoceros,15
Citharichthys gymnorhinus,7.5
Citharichthys macrops,20
Citharichthys minutus,5.2
Citharichthys spilopterus,20
Citharichthys uhleri,16.1
Citharichthys valdezi,8.4
Cyclopsetta chittendeni,33
Cyclopsetta fimbriata,33
Etropus crossotus,22
Etropus cyclosquamus,11.5
Etropus delsmani delsmani,6
Etropus rimosus,13
Gastropsetta frontalis,25
Paralichthys albigutta,71
Paralichthys dentatus,94
Paralichthys lethostigma,91.5
Paralichthys oblongus,41
Paralichthys squamilentus,46
Paralichthys tropicus,50
Syacium gunteri,20
Syacium micrurum,30
Syacium papillosum,25
Parazenidae,
Cyttopsis rosea,22
Parazen pacificus,30
Pempheridae,
Pempheris poeyi,15
Pempheris schomburgkii,15
Percophidae,
Bembrops anatirostris,35
Bembrops gobioides,25
Bembrops macromma,21
Bembrops magnisquamis,12
Bembrops ocellatus,22.5
Bembrops quadrisella,26.8
Bembrops raneyi,20
Chrionema squamentum,11
Peristediidae,
Peristedion antillarum,20
Peristedion brevirostre,28
Peristedion ecuadorense,24
Peristedion gracile,20
Peristedion greyae,28
Peristedion imberbe,21
Peristedion longispatha,20
Peristedion miniatum,35
Peristedion species T,19
Peristedion thompsoni,29
Peristedion truncatum,19
Peristedion unicuspis,16
Pimelodidae,
Brachyplatystoma filamentosum,360
Brachyplatystoma vaillantii,150
Hypophthalmus edentatus,57.5
Pimelodus blochii,35
Pleuronectidae,
Poecilopsetta beanii,9
Poecilopsetta inermis,16
Poeciliidae,
Belonesox belizanus,21.7
Brachyrhaphis cascajalensis,7.5
Gambusia affinis,10
Gambusia lemaitrei,4.5
Gambusia luma,5.5
Gambusia manni,6.4
Gambusia nicaraguensis,5
Gambusia punctata,8
Gambusia puncticulata,6.6
Gambusia rhizophorae,5
Gambusia wrayi,6.9
Gambusia xanthosoma,4.4
Gambusia yucatana,6.7
Heterandria formosa,3.9
Limia caymanensis,4
Limia rivasi,3.9
Limia vittata,8
Poecilia gillii,10.5
Poecilia koperi,10
Poecilia latipinna,15
Poecilia mexicana,14.4
Poecilia orri,7.3
Poecilia petenensis,15
Poecilia picta,5
Poecilia reticulata,6.7
Poecilia sphenops,6
Poecilia vandepolli,6
Poecilia velifera,15.2
Poecilia vivipara,7.2
Polymixiidae,
Polymixia lowei,25
Polymixia nobilis,54
Polynemidae,
Polydactylus octonemus,33
Polydactylus oligodon,46
Polydactylus virginicus,33
Polyprionidae,
Polyprion americanus,200
Pomacanthidae,
Centropyge argi,5
Centropyge aurantonotus,5
Holacanthus bermudensis,45
Holacanthus ciliaris,45
Holacanthus tricolor,25
Pomacanthus annularis,45
Pomacanthus arcuatus,60
Pomacanthus asfur,40
Pomacanthus imperator,38
Pomacanthus maculosus,50
Pomacanthus paru,40
Pomacanthus semicirculatus,35
Pomacanthus xanthometopon,38
Pomacentridae,
Abudefduf saxatilis,23
Abudefduf taurus,25
Chromis bermudae,8.5
Chromis cyanea,15
Chromis enchrysurus,10
Chromis insolata,16
Chromis jubauna,9.6
Chromis multilineata,20
Chromis scotti,10
Chromis vanbebberae,13.5
Dascyllus aruanus,10
Dascyllus trimaculatus,14
Microspathodon chrysurus,21
Neopomacentrus cyanomos,12.5
Stegastes adustus,10.5
Stegastes diencaeus,12.5
Stegastes leucostictus,12
Stegastes otophorus,13
Stegastes partitus,10
Stegastes pictus,10
Stegastes planifrons,12.5
Stegastes xanthurus,12
Pomatomidae,
Pomatomus saltatrix,130
Potamotrygonidae,
Styracura schmardae,180
Priacanthidae,
Cookeolus japonicus,68
Heteropriacanthus cruentatus,51
Priacanthus arenatus,45
Pristigenys alta,33
Pristidae,
Pristis pectinata,554
Pristis pristis,656
Pristigasteridae,
Chirocentrodon bleekerianus,13
Neoopisthopterus cubanus,11
Odontognathus compressus,17
Odontognathus mucronatus,17.5
Pellona harroweri,22.5
Pristiophoridae,
Pristiophorus schroederi,87
Proscylliidae,
Eridacnis barbouri,35
Pseudocarchariidae,
Pseudocarcharias kamoharai,122
Pseudotriakidae,
Pseudotriakis microdon,296
Rachycentridae,
Rachycentron canadum,200
Rajidae,
Amblyraja radiata,110
Breviraja claramaculata,29.4
Breviraja colesi,40
Breviraja mouldi,41
Breviraja nigriventralis,44
Breviraja spinosa,33
Dactylobatus armatus,32
Dactylobatus clarkii,75
Dipturus bullisi,77
Dipturus garricki,107
Dipturus olseni,65
Dipturus oregoni,144
Dipturus teevani,84
Fenestraja atripinna,29
Fenestraja cubensis,23
Fenestraja ishiyamai,36
Fenestraja plutonia,27
Fenestraja sinusmexicanus,36
Gurgesiella atlantica,49
Leucoraja garmani,57
Leucoraja lentiginosa,44
Leucoraja yucatanensis,30
Malacoraja senta,71
Neoraja carolinensis,29
Rajella bigelowi,55
Rajella fuliginea,45
Rajella purpuriventralis,51
Rostroraja ackleyi,41
Rostroraja bahamensis,54
Rostroraja cervigoni,51
Rostroraja eglanteria,79
Rostroraja texana,54
Regalecidae,
Regalecus glesne,800
Rhincodontidae,
Rhincodon typus,1880
Rhinobatidae,
Pseudobatos lentiginosus,76
Pseudobatos percellens,100
Rhinochimaeridae,
Harriotta raleighana,120
Neoharriotta carri,120
Rhinochimaera atlantica,141
Rhinopteridae,
Rhinoptera bonasus,110
Rhinoptera brasiliensis,104
Scatophagidae,
Scatophagus argus,35
Sciaenidae,
Bairdiella chrysoura,25
Bairdiella ronchus,35
Corvula batabana,25
Corvula sanctaeluciae,26
Ctenosciaena gracilicirrhus,21
Cynoscion acoupa,120
Cynoscion arenarius,64
Cynoscion jamaicensis,50
Cynoscion leiarchus,60
Cynoscion microlepidotus,95
Cynoscion nebulosus,70
Cynoscion nothus,40
Cynoscion regalis,98
Cynoscion similis,60
Cynoscion virescens,95
Equetus lanceolatus,30
Equetus punctatus,25
Isopisthus parvipinnis,30
Larimus breviceps,31
Larimus fasciatus,25
Leiostomus xanthurus,36
Lonchurus elegans,35
Lonchurus lanceolatus,30
Macrodon ancylodon,45
Menticirrhus americanus,60
Menticirrhus littoralis,60
Menticirrhus saxatilis,46
Micropogonias furnieri,90
Micropogonias undulatus,50
Nebris microps,50
Odontoscion dentex,30
Ophioscion gomezi,18
Ophioscion panamensis,25
Ophioscion punctatissimus,25
Paralonchurus brasiliensis,30
Pareques acuminatus,25
Pareques iwamotoi,20
Pareques umbrosus,20
Pogonias cromis,150
Protosciaena bathytatos,31
Protosciaena trewavasae,21
Sciaenops ocellatus,160
Stellifer chaoi,13
Stellifer colonensis,20
Stellifer griseus,20
Stellifer lanceolatus,20
Stellifer magoi,11.5
Stellifer microps,25
Stellifer naso,15
Stellifer rastrifer,25
Stellifer species A,17.5
Stellifer species C,20
Stellifer stellifer,20
Stellifer venezuelae,25
Umbrina broussonnetii,25
Umbrina coroides,35
Umbrina milliae,25
Scomberesocidae,
Scomberesox saurus saurus,85
Scombridae,
Acanthocybium solandri,250
Auxis rochei rochei,55
Auxis thazard thazard,68
Euthynnus alletteratus,122
Katsuwonus pelamis,120
Sarda sarda,102
Scomber colias,65
Scomberomorus brasiliensis,142
Scomberomorus cavalla,184
Scomberomorus maculatus,101
Scomberomorus regalis,89
Thunnus alalunga,152
Thunnus albacares,220
Thunnus atlanticus,120
Thunnus obesus,250
Thunnus thynnus,330
Scombropidae,
Scombrops oculatus,106
Scophthalmidae,
Scophthalmus aquosus,46
Scorpaenidae,
Ectreposebastes imus,20.5
Helicolenus dactylopterus,50
Idiastion kyphos,18.6
Neomerinthe beanorum,19.5
Neomerinthe hemingwayi,40
Phenacoscorpius nebris,8.5
Pontinus castor,46
Pontinus helena,25
Pontinus longispinis,25
Pontinus nematophthalmus,14
Pontinus rathbuni,25
Pterois volitans,45
Scorpaena agassizii,20
Scorpaena albifimbria,9
Scorpaena bergii,10
Scorpaena brachyptera,7.5
Scorpaena brasiliensis,35
Scorpaena calcarata,16
Scorpaena dispar,22.5
Scorpaena elachys,6.4
Scorpaena grandicornis,15
Scorpaena inermis,11
Scorpaena isthmensis,26
Scorpaena plumieri,45
Scorpaenodes barrybrowni,6.4
Scorpaenodes caribbaeus,12
Scorpaenodes tredecimspinosus,6.5
Setarches guentheri,31
Trachyscorpia cristulata,55
Scyliorhinidae,
Apristurus canutus,46
Apristurus laurussonii,72
Apristurus parvipinnis,52
Apristurus riveri,46
Galeus antillensis,46
Galeus arae,33
Galeus cadenati,35
Galeus springeri,53
Parmaturus campechiensis,45
Schroederichthys maculatus,35
Schroederichthys tenuis,47
Scyliorhinus boa,54
Scyliorhinus hesperius,47
Scyliorhinus meadi,72
Scyliorhinus retifer,59
Scyliorhinus torrei,32
Serranidae,
Alphestes afer,33
Anthias asperilinguis,23.5
Anthias hensleyi,24.4
Anthias nicholsi,12.5
Anthias woodsi,52
Baldwinella aureorubens,35
Baldwinella vivanus,25
Bathyanthias cubensis,9.5
Bathyanthias mexicanus,15
Bathyanthias species A,10
Bullisichthys caribbaeus,7
Centropristis ocyurus,30
Centropristis philadelphica,30
Centropristis striata,66
Cephalopholis argus,60
Cephalopholis cruentata,33
Cephalopholis fulva,39
Choranthias tenuis,12.5
Dermatolepis inermis,91
Diplectrum bivittatum,25
Diplectrum formosum,30
Diplectrum radiale,26
Epinephelus adscensionis,62
Epinephelus altivelis,70
Epinephelus guttatus,76
Epinephelus itajara,250
Epinephelus morio,125
Epinephelus ongus,40
Epinephelus striatus,100
Gonioplectrus hispanus,30
Hemanthias leptus,56
Hypoplectrus aberrans,12.3
Hypoplectrus atlahua,13.2
Hypoplectrus castroaguirrei,15
Hypoplectrus chlorurus,15
Hypoplectrus ecosur,15
Hypoplectrus floridae,15
Hypoplectrus gemma,13
Hypoplectrus gummigutta,13
Hypoplectrus guttavarius,15
Hypoplectrus indigo,16.1
Hypoplectrus liberte,11
Hypoplectrus maculiferus,13
Hypoplectrus maya,13
Hypoplectrus nigricans,15.3
Hypoplectrus providencianus,13
Hypoplectrus puella,16.7
Hypoplectrus randallorum,13
Hypoplectrus species 1,13
Hypoplectrus unicolor,13
Hyporthodus drummondhayi,110
Hyporthodus flavolimbatus,115
Hyporthodus mystacinus,115
Hyporthodus nigritus,235
Hyporthodus niveatus,122
Jeboehlkia gladifer,7.8
Liopropoma aberrans,13.5
Liopropoma carmabi,4.8
Liopropoma eukrines,13
Liopropoma mowbrayi,9
Liopropoma olneyi,10.4
Liopropoma rubre,6
Liopropoma santi,14.3
Mycteroperca acutirostris,80
Mycteroperca bonaci,150
Mycteroperca cidi,114
Mycteroperca interstitialis,84
Mycteroperca microlepis,145
Mycteroperca phenax,107
Mycteroperca tigris,101
Mycteroperca venenosa,100
Paralabrax dewegeri,43
Paranthias furcifer,40
Parasphyraenops atrimanus,10
Parasphyraenops incisus,6.8
Plectranthias garrupellus,10
Plectranthias species A,7
Pronotogrammus martinicensis,24
Pseudogramma gregoryi,7.5
Rypticus bistrispinus,15
Rypticus bornoi,7.5
Rypticus carpenteri,10
Rypticus maculatus,24
Rypticus randalli,21.5
Rypticus saponaceus,35
Rypticus subbifrenatus,18
Schultzea beta,15.5
Serraniculus pumilio,8.6
Serranus annularis,9
Serranus atrobranchus,12
Serranus baldwini,7.4
Serranus chionaraia,6.5
Serranus flaviventris,7.5
Serranus fuscula,22.5
Serranus luciopercanus,15
Serranus maytagi,11.5
Serranus notospilus,15.3
Serranus phoebe,15
Serranus subligarius,10
Serranus tabacarius,22
Serranus tigrinus,12.3
Serranus tortugarum,8
Somniosidae,
Centroscymnus coelolepis,122
Centroscymnus owstonii,120
Somniosus microcephalus,640
Somniosus rostratus,143
Zameus squamulosus,84
Sparidae,
Archosargus probatocephalus,92
Archosargus rhomboidalis,33
Calamus arctifrons,25
Calamus bajonado,68
Calamus calamus,56
Calamus campechanus,21
Calamus cervigoni,20
Calamus leucosteus,46
Calamus nodosus,54
Calamus penna,46
Calamus pennatula,37
Calamus proridens,46
Diplodus argenteus caudimacula,30
Diplodus bermudensis,32
Diplodus holbrookii,46
Lagodon rhomboides,40
Pagrus pagrus,91
Stenotomus caprinus,30
Stenotomus chrysops,46
Sphyraenidae,
Sphyraena barracuda,200
Sphyraena borealis,50
Sphyraena guachancho,50
Sphyrnidae,
Sphyrna gilberti,45
Sphyrna lewini,340
Sphyrna media,150
Sphyrna mokarran,610
Sphyrna tiburo,150
Sphyrna tudes,148
Sphyrna zygaena,400
Squalidae,
Cirrhigaleus asper,118
Squalus acanthias,160
Squalus clarkae,72
Squalus cubensis,110
Squatinidae,
Squatina david,79
Squatina dumeril,152
Stromateidae,
Peprilus burti,25
Peprilus paru,30
Peprilus triacanthus,30
Peprilus xanthurus,29
Symphysanodontidae,
Symphysanodon berryi,25
Symphysanodon mona,11
Symphysanodon octoactinus,16.5
Synaphobranchidae,
Dysomma anguillare,52
Linkenchelys multipora,8.2
Syngnathidae,
Amphelikturus dendriticus,8.1
Anarchopterus criniger,10
Anarchopterus tectus,12.5
Bryx dunckeri,7.5
Bryx randalli,9.3
Cosmocampus albirostris,21
Cosmocampus brachycephalus,12
Cosmocampus elucens,17
Cosmocampus hildebrandi,10
Cosmocampus profundus,20
Halicampus crinitus,15
Hippocampus erectus,17.3
Hippocampus reidi,17.5
Hippocampus zosterae,2.5
Micrognathus erugatus,11.7
Microphis lineatus,19.5
Minyichthys inusitatus,3
Penetopteryx nanus,3.2
Pseudophallus mindii,16
Syngnathus caribbaeus,30
Syngnathus dawsoni,18
Syngnathus floridae,26.5
Syngnathus fuscus,33
Syngnathus louisianae,38.1
Syngnathus makaxi,7
Syngnathus pelagicus,21
Syngnathus scovelli,18.3
Syngnathus springeri,38
Syngnathus texanus,22.5
Synodontidae,
Saurida brasiliensis,17
Saurida caribbaea,15
Saurida normani,45
Saurida suspicio,8.6
Synodus bondi,32
Synodus foetens,43
Synodus intermedius,44
Synodus macrostigmus,25.6
Synodus poeyi,25
Synodus saurus,40
Synodus synodus,33
Trachinocephalus myops,40
Tetraodontidae,
Arothron diadematus,30
Canthigaster figueiredoi,12
Canthigaster jamestyleri,10
Canthigaster rostrata,12
Colomesus psittacus,35
Lagocephalus laevigatus,100
Lagocephalus lagocephalus,61
Sphoeroides dorsalis,17.5
Sphoeroides georgemilleri,12
Sphoeroides greeleyi,17
Sphoeroides maculatus,25.3
Sphoeroides nephelus,26
Sphoeroides pachygaster,46
Sphoeroides parvus,15
Sphoeroides spengleri,16
Sphoeroides testudineus,30
Sphoeroides tyleri,12.5
Sphoeroides yergeri,12
Torpedinidae,
Tetronarce occidentalis,154
Torpedo andersoni,31
Trachichthyidae,
Gephyroberyx darwinii,60
Hoplostethus mediterraneus,58
Hoplostethus occidentalis,21
Triacanthodidae,
Hollardia hollardi,18
Hollardia meadi,10
Johnsonina eriomma,16
Parahollardia lineata,21
Parahollardia schmidti,10
Triakidae,
Mustelus canis,152
Mustelus higmani,65
Mustelus minicanis,57
Mustelus norrisi,98
Mustelus sinusmexicanus,140
Trichiuridae,
Aphanopus carbo,151
Aphanopus intermedius,148
Assurger anzac,225
Benthodesmus simonyi,133
Benthodesmus tenuis,230
Evoxymetopon taeniatus,205
Lepidopus altifrons,68
Trichiurus lepturus,234
Triglidae,
Bellator brachychir,19
Bellator egretta,12
Bellator militaris,16
Bellator ribeiroi,16
Prionotus alatus,20
Prionotus beanii,15
Prionotus carolinus,38
Prionotus evolans,45
Prionotus longispinosus,35
Prionotus martis,18
Prionotus ophryas,20
Prionotus paralatus,18
Prionotus punctatus,20
Prionotus roseus,20
Prionotus rubio,23
Prionotus scitulus,25
Prionotus stearnsi,18
Prionotus tribulus,45
Tripterygiidae,
Enneanectes altivelis,4
Enneanectes atrorus,3.3
Enneanectes boehlkei,4
Enneanectes deloachorum,2.6
Enneanectes flavus,2.6
Enneanectes jordani,4
Enneanectes matador,2.5
Enneanectes quadra,4
Enneanectes wilki,2
Uranoscopidae,
Astroscopus guttatus,55
Astroscopus y-graecum,44
Kathetostoma albigutta,28
Kathetostoma cubana,33
Xenocephalus egregius,33
Urotrygonidae,
Urobatis jamaicensis,70
Urotrygon microphthalmum,30
Urotrygon venezuelae,29
Xiphiidae,
Xiphias gladius,445
Zanclidae,
Zanclus cornutus,30
Zeidae,
Zenopsis conchifer,90
Zeniontidae,
Zenion hololepis,12
