species,Size cm
Calamopteryx robinsorum,5
Grammonus claudei,10
Lucifuga lucayana,10.8
Lucifuga simile,8
Lucifuga spelaeotes,18
Parasaccogaster melanomycter,7.2
Stygnobrotula latebricola,8
Callionymidae,
Callionymus bairdi,11.4
Diplogrammus pauciradiatus,7.5
Foetorepus agassizii,25
Foetorepus dagmarae,22.5
Foetorepus goodenbeani,30
Caproidae,
Antigonia capros,30.5
Antigonia combatia,15
Carangidae,
Alectis ciliaris,150
Caranx bartholomaei,100
Caranx crysos,76
Caranx hippos,124
Caranx latus,101
Caranx lugubris,100
Caranx ruber,69
Chloroscombrus chrysurus,33.5
Decapterus macarellus,44
Decapterus punctatus,36
Decapterus tabl,51
Elagatis bipinnulata,180
Gnathanodon speciosus,120
Hemicaranx amblyrhynchus,50
Naucrates ductor,70
Oligoplites palometa,50
Oligoplites saliens,50
Oligoplites saurus saurus,35
Pseudocaranx dentex,122
Selar crumenophthalmus,30
Selene brownii,29
Selene setapinnis,46.5
Selene vomer,48.3
Seriola dumerili,190
Seriola fasciata,79
Seriola rivoliana,160
Seriola zonata,78
Trachinotus carolinus,64
Trachinotus cayennensis,56
Trachinotus falcatus,149
Trachinotus goodei,50.6
Trachurus lathami,40
Uraspis secunda,50
Carapidae,
Carapus bermudensis,20
Echiodon dawsoni,11.2
Carcharhinidae,
Carcharhinus acronotus,137
Carcharhinus altimus,300
Carcharhinus brachyurus,295
Carcharhinus brevipinna,278
Carcharhinus falciformis,330
Carcharhinus galapagensis,370
Carcharhinus isodon,160
Carcharhinus leucas,340
Carcharhinus limbatus,255
Carcharhinus longimanus,350
Carcharhinus obscurus,365
Carcharhinus perezii,295
Carcharhinus plumbeus,240
Carcharhinus porosus,137
Carcharhinus signatus,280
Galeocerdo cuvier,550
Isogomphodon oxyrhynchus,160
Negaprion brevirostris,368
Prionace glauca,383
Rhizoprionodon lalandii,79
Rhizoprionodon porosus,110
Rhizoprionodon terraenovae,110
Centriscidae,
Macroramphosus gracilis,15
Macroramphosus scolopax,23
Centrolophidae,
Hyperoglyphe bythites,60
Hyperoglyphe perciformis,91
Schedophilus ovalis,100
Schedophilus pemarco,50
Centrophoridae,
Centrophorus granulosus,110
Centrophorus squamosus,164
Centrophorus tessellatus,89
Deania calcea,122
Deania profundorum,104
Centropomidae,
Centropomus ensiferus,35
Centropomus mexicanus,60
Centropomus parallelus,63
Centropomus pectinatus,56
Centropomus poeyi,90
Centropomus undecimalis,140
Cetorhinidae,
Cetorhinus maximus,1000
Chaenopsidae,
Acanthemblemaria aceroi,4.5
Acanthemblemaria aspera,4
Acanthemblemaria betinensis,5.4
Acanthemblemaria chaplini,4.5
Acanthemblemaria greenfieldi,4
Acanthemblemaria harpeza,3.3
Acanthemblemaria johnsoni,3.1
Acanthemblemaria maria,5.2
Acanthemblemaria medusa,4
Acanthemblemaria paula,2.5
Acanthemblemaria rivasi,3.5
Acanthemblemaria spinosa,3.5
Chaenopsis limbaughi,8.2
Chaenopsis megalops,11
Chaenopsis ocellata,12.3
Chaenopsis resh,13
Chaenopsis roseola,4.8
Chaenopsis stephensi,5
Coralliozetus cardonae,2.5
Ekemblemaria nigra,7.1
Emblemaria atlantica,7.5
Emblemaria australis,3.1
Emblemaria biocellata,4.8
Emblemaria caldwelli,3.1
Emblemaria caycedoi,4.4
Emblemaria culmenis,6
Emblemaria diphyodontis,7
Emblemaria hyltoni,2.6
Emblemaria pandionis,7
Emblemaria piratula,5
Emblemaria vitta,2.1
Emblemariopsis bahamensis,3
Emblemariopsis bottomei,3
Emblemariopsis carib,2
Emblemariopsis dianae,2.5
Emblemariopsis diaphana,3
Emblemariopsis falcon,3.6
Emblemariopsis lancea,3
Emblemariopsis leptocirris,2.6
Emblemariopsis occidentalis,2.3
Emblemariopsis pricei,3.2
Emblemariopsis randalli,3.8
Emblemariopsis ruetzleri,2.2
Emblemariopsis tayrona,3.6
Hemiemblemaria simula,11.3
Lucayablennius zingaro,5.7
Protemblemaria punctata,5.1
Stathmonotus gymnodermis,4
Stathmonotus hemphillii,5
Stathmonotus stahli,4
Stathmonotus tekla,4
Chaetodontidae,
Chaetodon capistratus,15
Chaetodon lunula,20
Chaetodon ocellatus,20
Chaetodon sedentarius,18
Chaetodon striatus,20
Heniochus diphreutes,21
Heniochus intermedius,20
Heniochus monoceros,25
Prognathodes aculeatus,9.5
Prognathodes aya,17
Prognathodes guyanensis,15
Characidae,
Astyanax aeneus,14
Chaunacidae,
Chaunacops roseus,15
Chaunax pictus,40
Chaunax stigmaeus,28
Chaunax suttkusi,30
Chimaeridae,
Chimaera bahamaensis,88
Chimaera cubana,80
Hydrolagus alberti,100
Hydrolagus mirabilis,84
Chlamydoselachidae,
Chlamydoselachus anguineus,196
Chlopsidae,
Catesbya pseudomuraena,14
Chilorhinus suensonii,21
Chlopsis bicolor,23.5
Chlopsis dentatus,20
Kaupichthys hyoproroides,15
Kaupichthys nuchalis,16.3
Robinsia catherinae,20
Chlorophthalmidae,
Chlorophthalmus agassizi,23
Chlorophthalmus brasiliensis,20
Parasudis truculenta,25
Cichlidae,
Hemichromis letourneuxi,15
Herichthys cyanoguttatus,33
Mayaheros urophthalmus,38
Nandopsis haitiensis,15
Nandopsis tetracanthus,24
Oreochromis aureus,50.8
Oreochromis mossambicus,50
Oreochromis niloticus niloticus,60
Oreochromis urolepis,29
Sarotherodon melanotheron,35
Tilapia mariae,42
Tilapia rendalli,45
Tilapia zillii,47
Vieja maculicauda,30
Vieja melanura,40
Cirrhitidae,
Amblycirrhitus pinos,9.5
Clupeidae,
Alosa aestivalis,47
Alosa alabamae,61
Alosa chrysochloris,60
Alosa sapidissima,76
Brevoortia gunteri,33
Brevoortia patronus,35
Brevoortia smithi,42
Brevoortia tyrannus,60
Dorosoma cepedianum,50
Dorosoma petenense,23
Etrumeus sadina,30
Harengula clupeola,21
Harengula humeralis,26.5
Harengula jaguana,27.5
Jenkinsia lamprotaenia,8.3
Jenkinsia majua,7.3
Jenkinsia parvula,7.1
Jenkinsia stolifera,7.5
Lile piquitinga,15
Opisthonema oglinum,48
Rhinosardinia amazonica,10.3
Sardinella aurita,35.5
Congridae,
Ariosoma anale,36.3
Ariosoma balearicum,33.6
Ariosoma selenops,58
Bathycongrus bullisi,60.6
Bathycongrus dubius,45
Bathycongrus polyporus,43
Bathycongrus thysanochilus,30
Bathycongrus vicinalis,47
Bathyuroconger vicinus,880
Conger esculentus,160
Conger oceanicus,200
Conger triporiceps,100
Gnathophis bathytopos,40
Gnathophis bracheatopos,35.2
Heteroconger camelopardalis,50
Heteroconger longissimus,51
Heteroconger luteolus,50
Japonoconger caribbeus,50
Paraconger caudilimbatus,50
Pseudophichthys splendens,40
Rhynchoconger flavus,200
Rhynchoconger gracilior,61
Rhynchoconger guppyi,100
Uroconger syringinus,38
Coryphaenidae,
Coryphaena equiselis,86
Coryphaena hippurus,230
Crurirajidae,
Cruriraja atlantis,34
Cruriraja cadenati,39
Cruriraja poeyi,35
Cruriraja rugosa,49
Cynoglossidae,
Symphurus arawak,6
Symphurus billykrietei,12.5
Symphurus caribbeanus,14
Symphurus civitatium,16
Symphurus diomedeanus,22
Symphurus hernandezi,12.7
Symphurus marginatus,15.5
Symphurus minor,8.5
Symphurus nebulosus,9
Symphurus oculellus,20
Symphurus ommaspilus,6.2
Symphurus parvus,9.7
Symphurus pelicanus,9
Symphurus piger,14
Symphurus plagiusa,23
Symphurus plagusia,14
Symphurus pusillus,8.9
Symphurus rhytisma,5
Symphurus stigmosus,13
Symphurus tessellatus,23
Symphurus urospilus,18
Cynolebiidae,
Rivulus garciai,3.3
Rivulus hartii,10
Rivulus marmoratus,6
Cyprinodontidae,
Cubanichthys cubensis,8
Cyprinodon artifrons,4.9
Cyprinodon dearborni,6.1
Cyprinodon laciniatus,6.6
Cyprinodon variegatus,10
Floridichthys carpio,11.3
Floridichthys polyommus,11.6
Jordanella floridae,3.9
Jordanella pulchra,4.5
Dactylopteridae,
Dactylopterus volitans,45
Dactyloscopidae,
Dactylagnus peratikos,7.2
Dactyloscopus boehlkei,6.3
Dactyloscopus comptus,4.5
Dactyloscopus crossotus,7.5
Dactyloscopus foraminosus,8
Dactyloscopus moorei,8.6
Dactyloscopus poeyi,6
Dactyloscopus tridigitatus,8.5
Gillellus greyae,9.8
Gillellus healae,6.3
Gillellus inescatus,2.8
Gillellus jacksoni,2.9
Gillellus uranidea,4.5
Leurochilus acon,3.6
Myxodagnus belone,6.3
Platygillellus rubrocinctus,4.8
Platygillellus smithi,4.8
Dalatiidae,
Dalatias licha,180
Isistius brasiliensis,50
Isistius plutodus,42
Mollisquama species A,40
Squaliolus laticaudus,28
Dasyatidae,
Bathytoshia centroura,260
Fontitrygon geijskesi,150
Hypanus americanus,150
Hypanus guttatus,200
Hypanus sabinus,45
Hypanus say,78
Pteroplatytrygon violacea,163
Dinematichthyidae,
Alionematichthys minyomma,8.2
Gunterichthys longipenis,7.5
Ogilbia boehlkei,7.8
Ogilbia cayorum,7
Ogilbia jeffwilliamsi,6.8
Ogilbia mccoskeri,7.2
Ogilbia sabaji,5.8
Ogilbia species A,7
Ogilbia species B,6.4
Ogilbia suarezae,8.6
Ogilbia tyleri,5.7
Ogilbichthys ferocis,3.5
Ogilbichthys haitiensis,2.3
Ogilbichthys kakuki,7.9
Ogilbichthys longimanus,8.7
Ogilbichthys microphthalmus,4.5
Ogilbichthys puertoricoensis,4
Ogilbichthys tobagoensis,3.3
Pseudogilbia sanblasensis,7.5
Diodontidae,
Chilomycterus antennatus,30
Chilomycterus antillarum,30
Chilomycterus reticulatus,75
Chilomycterus schoepfii,33
Chilomycterus spinosus spinosus,25
Diodon eydouxii,30
Diodon holocanthus,60
Diodon hystrix,91
Draconettidae,
Centrodraco acanthopoma,14
Echeneidae,
Echeneis naucrates,100
Echeneis neucratoides,75
Phtheirichthys lineatus,56
Remora albescens,30
Remora australis,76
Remora brachyptera,40
Remora osteochir,40
Remora remora,86
Echinorhinidae,
Echinorhinus brucus,310
Eleotridae,
Butis koilomatodon,10.7
Dormitator maculatus,13.6
Eleotris amblyopsis,8.3
Eleotris perniger,10
Eleotris picta,53
Eleotris pisonis,25
Erotelis smaragdus,20
Gobiomorus dormitor,60
Guavina guavina,30
Leptophilypnus fluviatilis,7
Elopidae,
Elops saurus,91
Elops smithi,91
Emmelichthyidae,
Emmelichthys ruber,30
Erythrocles monodi,65
Engraulidae,
Anchoa cayorum,9
Anchoa choerostoma,12.6
Anchoa colonensis,12.5
Anchoa cubana,10
Anchoa filifera,12
Anchoa hepsetus,8
Anchoa januaria,8
Anchoa lamprotaenia,12
Anchoa lyolepis,12
Anchoa mitchilli,10
Anchoa parva,8
Anchoa spinifer,26
Anchoa trinitatis,14
Anchovia clupeoides,30
Anchovia surinamensis,15
Anchoviella blackburni,4
Anchoviella brevirostris,9
Anchoviella elongata,11
Anchoviella guianensis,9
Anchoviella lepidentostole,11
Anchoviella perfasciata,11
Cetengraulis edentulus,17
Engraulis eurystole,12
Lycengraulis batesii,30
Lycengraulis grossidens,26
Lycengraulis limnichthys,19
Pterengraulis atherinoides,30
Ephippidae,
Chaetodipterus faber,100
Platax orbicularis,50
Etmopteridae,
Centroscyllium fabricii,107
Etmopterus bigelowi,73
Etmopterus bullisi,30.3
Etmopterus carteri,21
Etmopterus gracilispinis,33
Etmopterus hillianus,29.5
Etmopterus perryi,21.2
Etmopterus pusillus,50
Etmopterus robinsi,34
Etmopterus schultzi,30
Etmopterus virens,26
Exocoetidae,
Cheilopogon cyanopterus,41
Cheilopogon exsiliens,30
Cheilopogon furcatus,33
Cheilopogon heterurus,45
Cheilopogon melanurus,33
Cypselurus comatus,30
Exocoetus obtusirostris,25
Exocoetus volitans,24
Hirundichthys affinis,29
Hirundichthys rondeletii,32
Hirundichthys speculiger,31
Parexocoetus hillianus,15.5
Prognichthys glaphyrae,25
Prognichthys occidentalis,23
Fistulariidae,
Fistularia petimba,200
Fistularia tabacaria,200
Fundulidae,
Fundulus bermudae,9
Fundulus chrysotus,8.5
Fundulus confluentus,8
Fundulus grandis,18
Fundulus grandissimus,20
Fundulus jenkinsi,6.5
Fundulus majalis,15
Fundulus persimilis,15
Fundulus pulvereus,7.5
Fundulus relictus,10.6
Fundulus saguanus,8
Fundulus seminolis,16
Fundulus similis,15
Fundulus xenicus,6
Lucania parva,7
Gadidae,
Enchelyopus cimbrius,41
Phycis chesteri,40
Urophycis cirrata,66
Urophycis earllii,45
Urophycis floridana,35
Urophycis regia,35
Gempylidae,
Diplospinus multistriatus,36
Epinnula magistralis,124
Gempylus serpens,125
Lepidocybium flavobrunneum,220
Nealotus tripes,30
Neoepinnula americana,26
Nesiarchus nasutus,145
Promethichthys prometheus,114
Ruvettus pretiosus,305
Gerreidae,
Diapterus auratus,34
Diapterus rhombeus,40
Eucinostomus argenteus,20
Eucinostomus gula,22.7
Eucinostomus harengulus,15
Eucinostomus havana,18
Eucinostomus jonesii,20
Eucinostomus lefroyi,23
Eucinostomus melanopterus,19.3
Eugerres awlae,34
Eugerres brasilianus,40
Eugerres plumieri,40
Gerres cinereus,41
Ginglymostomatidae,
Ginglymostoma cirratum,300
Gobiesocidae,
Acyrtops amplicirrus,1.9
Acyrtops beryllinus,2.5
Acyrtus artius,3.3
Acyrtus lanthanum,3.4
Acyrtus rubiginosus,3.6
Arcos nudus,9
Derilissus altifrons,2.1
Derilissus kremnobates,3.1
Derilissus lombardii,1.5
Derilissus nanus,1.7
Derilissus vittiger,2.1
Gobiesox barbatulus,5.4
Gobiesox cephalus,15
Gobiesox lucayanus,6
Gobiesox nigripinnis,6.2
Gobiesox punctulatus,6.4
Gobiesox strumosus,8
Gymnoscyphus ascitus,3.5
Tomicodon briggsi,2.1
Tomicodon clarkei,1.7
Tomicodon cryptus,2
Tomicodon fasciatus,3.6
Tomicodon lavettsmithi,3.2
Tomicodon leurodiscus,2.3
Tomicodon reitzae,4.1
Tomicodon rhabdotus,5
Tomicodon rupestris,3.4
Gobiidae,
Akko dionaea,8.3
Antilligobius nikkiae,4.3
Awaous banana,37
Awaous flavus,11
Barbulifer antennatus,2.5
Barbulifer ceuthoecus,3
Bathygobius antilliensis,7.5
Bathygobius curacao,7.5
Bathygobius geminatus,4.7
Bathygobius lacertus,9
Bathygobius mystacium,7
Bathygobius soporator,15
Bollmannia boqueronensis,10
Bollmannia communis,10
Bollmannia eigenmanni,10
Bollmannia litura,7
Carrigobius amblyrhynchus,4.4
Cerdale floridana,9
Chriolepis fisheri,2.2
Chriolepis roosevelti,2.5
Coryphopterus alloides,4
Coryphopterus curasub,4.2
Coryphopterus dicrus,5
Coryphopterus eidolon,6
Coryphopterus glaucofraenum,8
Coryphopterus hyalinus,4
Coryphopterus kuna,2.5
Coryphopterus lipernes,3
Coryphopterus personatus,4
Coryphopterus punctipectophorus,7.5
Coryphopterus thrix,5
Coryphopterus tortugae,6.2
Coryphopterus venezuelae,7.5
Cryptopsilotris batrachodes,1.8
Ctenogobius boleosoma,10.5
Ctenogobius claytonii,7.9
Ctenogobius fasciatus,9.3
Ctenogobius phenacus,3.2
