"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"1","Abyssocottus elochini","Abyssocottus","elochini",26334,584,"bathydemersal",300,NA,NA,48039
"2","Abyssocottus gibbosus","Abyssocottus","gibbosus",26334,584,"bathydemersal",1600,14,"TL",48040
"3","Abyssocottus korotneffi","Abyssocottus","korotneffi",2058,584,"bathydemersal",1600,12.6,"TL",47208
"4","Asprocottus abyssalis","Asprocottus","abyssalis",26334,584,"bathydemersal",1400,NA,NA,48048
"5","Asprocottus herzensteini","Asprocottus","herzensteini",2058,584,"bathydemersal",887,11.5,"TL",48049
"6","Asprocottus intermedius","Asprocottus","intermedius",26334,584,"bathydemersal",800,NA,NA,61488
"7","Asprocottus korjakovi","Asprocottus","korjakovi",53210,584,"bathydemersal",125,NA,NA,60302
"8","Asprocottus minor","Asprocottus","minor",53210,584,"pelagic",NA,NA,NA,62234
"9","Asprocottus parmiferus","Asprocottus","parmiferus",26334,584,"bathydemersal",500,NA,NA,48051
"10","Asprocottus platycephalus","Asprocottus","platycephalus",26334,584,"bathydemersal",800,10.5,"TL",48054
"11","Asprocottus pulcher","Asprocottus","pulcher",26334,584,"bathydemersal",250,NA,NA,48055
"12","Cottinella boulengeri","Cottinella","boulengeri",26334,584,"bathypelagic",1600,12.2,"TL",48058
"13","Cyphocottus eurystomus","Cyphocottus","eurystomus",26334,584,"bathydemersal",600,NA,NA,48060
"14","Cyphocottus megalops","Cyphocottus","megalops",2058,584,"bathydemersal",600,16.5,"TL",48064
"15","Limnocottus bergianus","Limnocottus","bergianus",2058,584,"bathydemersal",1000,22.5,"TL",48059
"16","Limnocottus godlewskii","Limnocottus","godlewskii",26334,584,"bathydemersal",830,19,"TL",48061
"17","Limnocottus griseus","Limnocottus","griseus",26334,584,"bathydemersal",1300,NA,NA,48062
"18","Limnocottus pallidus","Limnocottus","pallidus",26334,584,"bathydemersal",1000,13.1,"SL",48083
"19","Neocottus thermalis","Neocottus","thermalis",53210,584,"bathydemersal",480,NA,NA,60304
"20","Neocottus werestschagini","Neocottus","werestschagini",2058,584,"bathydemersal",1400,9.8,"TL",48042
"21","Procottus gotoi","Procottus","gotoi",53210,584,"benthopelagic",NA,NA,NA,60303
"22","Procottus gurwicii","Procottus","gurwicii",2058,584,"benthopelagic",93,6.2,"TL",48085
"23","Procottus jeittelesii","Procottus","jeittelesii",2058,584,"benthopelagic",140,28,"TL",48084
"24","Procottus major","Procottus","major",26334,584,"benthopelagic",900,16.7,"TL",48087
"25","Acanthurus achilles","Acanthurus","achilles",1920,412,"reef-associated",10,24,"TL",4306
"26","Acanthurus albipectoralis","Acanthurus","albipectoralis",2334,412,"reef-associated",20,33,"TL",13770
"27","Acanthurus auranticavus","Acanthurus","auranticavus",1920,412,"reef-associated",20,45,"SL",4748
"28","Acanthurus bahianus","Acanthurus","bahianus",7251,412,"reef-associated",40,38.1,"SL",942
"29","Acanthurus bariene","Acanthurus","bariene",1920,412,"reef-associated",50,50,"TL",4307
"30","Acanthurus blochii","Acanthurus","blochii",1921,412,"reef-associated",15,45,"SL",4750
"31","Acanthurus chirurgus","Acanthurus","chirurgus",7251,412,"reef-associated",25,39,"TL",943
"32","Acanthurus chronixis","Acanthurus","chronixis",1602,412,"reef-associated",6,28,"TL",6010
"33","Acanthurus coeruleus","Acanthurus","coeruleus",7251,412,"reef-associated",40,39,"TL",944
"34","Acanthurus dussumieri","Acanthurus","dussumieri",3145,412,"reef-associated",131,54,"TL",1256
"35","Acanthurus fowleri","Acanthurus","fowleri",1920,412,"reef-associated",50,45,"SL",4745
"36","Acanthurus gahhm","Acanthurus","gahhm",1921,412,"reef-associated",40,40,"TL",17471
"37","Acanthurus grammoptilus","Acanthurus","grammoptilus",1920,412,"reef-associated",91,35,"TL",4749
"38","Acanthurus guttatus","Acanthurus","guttatus",1920,412,"reef-associated",8,26,"TL",4736
"39","Acanthurus japonicus","Acanthurus","japonicus",9710,412,"reef-associated",20,21,"TL",23375
"40","Acanthurus leucocheilus","Acanthurus","leucocheilus",1920,412,"reef-associated",40,45,"SL",4741
"41","Acanthurus leucopareius","Acanthurus","leucopareius",1920,412,"reef-associated",85,25,"TL",4737
"42","Acanthurus leucosternon","Acanthurus","leucosternon",1920,412,"reef-associated",25,54,"TL",1257
"43","Acanthurus lineatus","Acanthurus","lineatus",3145,412,"reef-associated",15,38,"TL",1258
"44","Acanthurus maculiceps","Acanthurus","maculiceps",1920,412,"reef-associated",15,40,"SL",4746
"45","Acanthurus mata","Acanthurus","mata",1921,412,"reef-associated",100,50,"TL",1255
"46","Acanthurus monroviae","Acanthurus","monroviae",7345,412,"demersal",200,45,"SL",1800
"47","Acanthurus nigricans","Acanthurus","nigricans",1602,412,"reef-associated",67,21.3,"TL",6011
"48","Acanthurus nigricauda","Acanthurus","nigricauda",1921,412,"reef-associated",30,40,"TL",4747
"49","Acanthurus nigrofuscus","Acanthurus","nigrofuscus",1920,412,"reef-associated",25,21,"TL",4739
"50","Acanthurus nigroris","Acanthurus","nigroris",1920,412,"reef-associated",90,25,"TL",4738
"51","Acanthurus nubilus","Acanthurus","nubilus",1920,412,"reef-associated",90,26,"TL",4733
"52","Acanthurus olivaceus","Acanthurus","olivaceus",1920,412,"reef-associated",46,35,"TL",4744
"53","Acanthurus polyzona","Acanthurus","polyzona",1920,412,"reef-associated",NA,11,"TL",4732
"54","Acanthurus pyroferus","Acanthurus","pyroferus",1920,412,"reef-associated",60,29,"TL",4742
"55","Acanthurus randalli","Acanthurus","randalli",7251,412,"reef-associated",20,18,"TL",3905
"56","Acanthurus reversus","Acanthurus","reversus",41630,412,"reef-associated",15,34,"TL",58792
"57","Acanthurus sohal","Acanthurus","sohal",1920,412,"reef-associated",NA,40,"TL",4740
"58","Acanthurus tennentii","Acanthurus","tennentii",1920,412,"reef-associated",40,31,"TL",1259
"59","Acanthurus thompsoni","Acanthurus","thompsoni",1920,412,"reef-associated",119,27,"TL",4734
"60","Acanthurus triostegus","Acanthurus","triostegus",1920,412,"reef-associated",90,27,"TL",1260
"61","Acanthurus tristis","Acanthurus","tristis",8940,412,"reef-associated",30,25,"TL",12782
"62","Acanthurus xanthopterus","Acanthurus","xanthopterus",1920,412,"reef-associated",100,70,"TL",1261
"63","Ctenochaetus binotatus","Ctenochaetus","binotatus",42056,412,"reef-associated",53,22,"TL",6012
"64","Ctenochaetus cyanocheilus","Ctenochaetus","cyanocheilus",42056,412,"reef-associated",46,16,"SL",59486
"65","Ctenochaetus flavicauda","Ctenochaetus","flavicauda",42056,412,"reef-associated",30,16,"TL",59589
"66","Ctenochaetus hawaiiensis","Ctenochaetus","hawaiiensis",42056,412,"reef-associated",61,25,"TL",6013
"67","Ctenochaetus marginatus","Ctenochaetus","marginatus",42056,412,"reef-associated",18,27,"TL",6014
"68","Ctenochaetus striatus","Ctenochaetus","striatus",42056,412,"reef-associated",35,26,"TL",1262
"69","Ctenochaetus strigosus","Ctenochaetus","strigosus",42056,412,"reef-associated",113,14.6,"SL",6015
"70","Ctenochaetus tominiensis","Ctenochaetus","tominiensis",42056,412,"reef-associated",45,16,"SL",6016
"71","Ctenochaetus truncatus","Ctenochaetus","truncatus",42056,412,"reef-associated",21,16,"SL",59487
"72","Naso annulatus","Naso","annulatus",1602,412,"reef-associated",60,100,"TL",6019
"73","Naso brachycentron","Naso","brachycentron",1602,412,"reef-associated",30,90,"FL",6020
"74","Naso brevirostris","Naso","brevirostris",1602,412,"reef-associated",122,60,"FL",6021
"75","Naso caeruleacauda","Naso","caeruleacauda",10671,412,"reef-associated",45,40,"SL",27318
"76","Naso caesius","Naso","caesius",9944,412,"reef-associated",50,45.6,"SL",15628
"77","Naso elegans","Naso","elegans",37792,412,"reef-associated",30,45,"SL",60074
"78","Naso fageni","Naso","fageni",3145,412,"reef-associated",35,80,"FL",7630
"79","Naso hexacanthus","Naso","hexacanthus",1602,412,"reef-associated",150,75,"FL",1263
"80","Naso lituratus","Naso","lituratus",2334,412,"reef-associated",90,46,"SL",1264
"81","Naso lopezi","Naso","lopezi",1602,412,"reef-associated",50,60,"SL",6022
"82","Naso maculatus","Naso","maculatus",559,412,"reef-associated",220,60,"TL",6931
"83","Naso mcdadei","Naso","mcdadei",37792,412,"reef-associated",65,75,"SL",60075
"84","Naso minor","Naso","minor",10671,412,"reef-associated",55,30,"SL",6933
"85","Naso reticulatus","Naso","reticulatus",39638,412,"reef-associated",15,49,"SL",58347
"86","Naso tergus","Naso","tergus",87782,412,"reef-associated",80,34.7,"SL",66264
"87","Naso thynnoides","Naso","thynnoides",10671,412,"reef-associated",40,40,"FL",6932
"88","Naso tonganus","Naso","tonganus",37792,412,"reef-associated",40,60,"SL",60076
"89","Naso tuberosus","Naso","tuberosus",37792,412,"reef-associated",NA,60,"SL",6023
"90","Naso unicornis","Naso","unicornis",1602,412,"reef-associated",180,70,"FL",1265
"91","Naso vlamingii","Naso","vlamingii",1602,412,"reef-associated",50,60,"TL",6024
"92","Paracanthurus hepatus","Paracanthurus","hepatus",1602,412,"reef-associated",40,31,"TL",6017
"93","Prionurus biafraensis","Prionurus","biafraensis",7345,412,"demersal",NA,20,"TL",4944
"94","Prionurus chrysurus","Prionurus","chrysurus",41642,412,"reef-associated",40,30,"SL",59451
"95","Prionurus laticlavius","Prionurus","laticlavius",9267,412,"reef-associated",30,60,"TL",13417
"96","Prionurus maculatus","Prionurus","maculatus",2334,412,"reef-associated",20,45,"TL",12625
"97","Prionurus microlepidotus","Prionurus","microlepidotus",2334,412,"reef-associated",NA,70,"TL",12626
"98","Prionurus punctatus","Prionurus","punctatus",9267,412,"reef-associated",35,60,"TL",13419
"99","Prionurus scalprum","Prionurus","scalprum",559,412,"reef-associated",NA,50,"TL",9231
"100","Zebrasoma desjardinii","Zebrasoma","desjardinii",37816,412,"reef-associated",30,40,"TL",58791
"101","Zebrasoma flavescens","Zebrasoma","flavescens",1602,412,"reef-associated",46,20,"TL",6018
"102","Zebrasoma gemmatum","Zebrasoma","gemmatum",3145,412,"reef-associated",61,22,"TL",7631
"103","Zebrasoma rostratum","Zebrasoma","rostratum",9710,412,"reef-associated",NA,21,"TL",25802
"104","Zebrasoma scopas","Zebrasoma","scopas",1602,412,"reef-associated",60,40,"SL",5951
"105","Zebrasoma velifer","Zebrasoma","velifer",37816,412,"reef-associated",45,40,"SL",1266
"106","Zebrasoma xanthurum","Zebrasoma","xanthurum",13710,412,"reef-associated",20,36.7,"TL",12023
"107","Acestrorhynchus abbreviatus","Acestrorhynchus","abbreviatus",35542,593,"benthopelagic",NA,22,"SL",52919
"108","Acestrorhynchus altus","Acestrorhynchus","altus",6329,593,"benthopelagic",NA,23.3,"SL",51076
"109","Acestrorhynchus britskii","Acestrorhynchus","britskii",27925,593,"benthopelagic",NA,16.5,"SL",52499
"110","Acestrorhynchus falcatus","Acestrorhynchus","falcatus",38248,593,"benthopelagic",NA,27.2,"SL",23498
"111","Acestrorhynchus falcirostris","Acestrorhynchus","falcirostris",6329,593,"benthopelagic",NA,40,"TL",13123
"112","Acestrorhynchus grandoculis","Acestrorhynchus","grandoculis",28768,593,"benthopelagic",NA,10.8,"SL",51808
"113","Acestrorhynchus heterolepis","Acestrorhynchus","heterolepis",38248,593,"benthopelagic",NA,32.1,"SL",27261
"114","Acestrorhynchus isalineae","Acestrorhynchus","isalineae",27925,593,"benthopelagic",NA,10.1,"SL",52522
"115","Acestrorhynchus lacustris","Acestrorhynchus","lacustris",38248,593,"benthopelagic",NA,27,"SL",51077
"116","Acestrorhynchus maculipinna","Acestrorhynchus","maculipinna",27925,593,"benthopelagic",NA,7.9,"SL",52523
"117","Acestrorhynchus microlepis","Acestrorhynchus","microlepis",38248,593,"benthopelagic",NA,26,"SL",12336
"118","Acestrorhynchus minimus","Acestrorhynchus","minimus",598,593,"benthopelagic",NA,6.3,"SL",51809
"119","Acestrorhynchus nasutus","Acestrorhynchus","nasutus",38248,593,"benthopelagic",NA,6.9,"SL",51815
"120","Acestrorhynchus pantaneiro","Acestrorhynchus","pantaneiro",27925,593,"benthopelagic",NA,35.2,"TL",52503
"121","Gilbertolus alatus","Gilbertolus","alatus",33012,593,"benthopelagic",NA,9.6,"SL",54580
"122","Gilbertolus atratoensis","Gilbertolus","atratoensis",33012,593,"benthopelagic",NA,11.88,"SL",54595
"123","Gilbertolus maracaiboensis","Gilbertolus","maracaiboensis",33012,593,"benthopelagic",NA,13.03,"SL",48632
"124","Gnathocharax steindachneri","Gnathocharax","steindachneri",36811,593,"pelagic",NA,5,"SL",26387
"125","Heterocharax leptogrammus","Heterocharax","leptogrammus",38319,593,"benthopelagic",NA,3.39,"SL",57972
"126","Heterocharax macrolepis","Heterocharax","macrolepis",38319,593,"benthopelagic",NA,4.75,"SL",51942
"127","Heterocharax virgulatus","Heterocharax","virgulatus",38319,593,"benthopelagic",NA,4.14,"SL",57973
"128","Hoplocharax goethei","Hoplocharax","goethei",36811,593,"benthopelagic",NA,3,"SL",51943
"129","Lonchogenys ilisha","Lonchogenys","ilisha",36811,593,"benthopelagic",NA,6,"SL",51956
"130","Roestes itupiranga","Roestes","itupiranga",33012,593,"benthopelagic",NA,14.2,"SL",54583
"131","Roestes molossus","Roestes","molossus",33012,593,"benthopelagic",NA,20,"SL",53435
"132","Roestes ogilviei","Roestes","ogilviei",33012,593,"benthopelagic",NA,18.7,"SL",53358
"133","Achirus achirus","Achirus","achirus",5217,516,"demersal",20,37,"TL",7572
"134","Achirus declivis","Achirus","declivis",30499,516,"demersal",NA,18,"TL",52941
"135","Achirus klunzingeri","Achirus","klunzingeri",9047,516,"demersal",40,23,"TL",13429
"136","Achirus lineatus","Achirus","lineatus",7251,516,"reef-associated",20,23,"TL",4256
"137","Achirus mazatlanus","Achirus","mazatlanus",12,516,"demersal",60,20,"TL",10429
"138","Achirus mucuri","Achirus","mucuri",80995,516,"benthopelagic",NA,9.03,"SL",64929
"139","Achirus novoae","Achirus","novoae",36798,516,"demersal",NA,10.6,NA,57101
"140","Achirus scutum","Achirus","scutum",9047,516,"demersal",46,28,"TL",13434
"141","Achirus zebrinus","Achirus","zebrinus",27116,516,"demersal",NA,NA,NA,52950
"142","Apionichthys dumerili","Apionichthys","dumerili",49504,516,"demersal",NA,12.4,"SL",8150
"143","Apionichthys finis","Apionichthys","finis",49504,516,"demersal",NA,8.79,"SL",57102
"144","Apionichthys menezesi","Apionichthys","menezesi",49504,516,"demersal",NA,6,"SL",62028
"145","Apionichthys nattereri","Apionichthys","nattereri",36798,516,"demersal",NA,23.4,"SL",57091
"146","Apionichthys rosai","Apionichthys","rosai",49504,516,"demersal",NA,3.45,"SL",62027
"147","Apionichthys sauli","Apionichthys","sauli",49504,516,"demersal",NA,6.97,"SL",62030
"148","Apionichthys seripierriae","Apionichthys","seripierriae",49504,516,"demersal",NA,8.79,"SL",62029
"149","Catathyridium garmani","Catathyridium","garmani",36798,516,"demersal",NA,17,NA,57933
"150","Catathyridium grandirivi","Catathyridium","grandirivi",41261,516,"demersal",NA,11.5,"SL",60325
"151","Catathyridium jenynsii","Catathyridium","jenynsii",36798,516,"demersal",NA,23.7,NA,23473
"152","Catathyridium lorentzii","Catathyridium","lorentzii",36798,516,"demersal",NA,5.4,NA,57583
"153","Gymnachirus melas","Gymnachirus","melas",7251,516,"demersal",73,22,"TL",4257
"154","Gymnachirus nudus","Gymnachirus","nudus",5217,516,"demersal",100,15,"TL",7575
"155","Gymnachirus texae","Gymnachirus","texae",7251,516,"demersal",NA,14,"TL",4258
"156","Hypoclinemus mentalis","Hypoclinemus","mentalis",36798,516,"demersal",NA,21,NA,57094
"157","Pnictes asphyxiatus","Pnictes","asphyxiatus",36798,516,"demersal",NA,9.57,"SL",57981
"158","Trinectes fimbriatus","Trinectes","fimbriatus",9047,516,"demersal",40,9,"TL",13437
"159","Trinectes fluviatilis","Trinectes","fluviatilis",36798,516,"demersal",NA,5,NA,13440
"160","Trinectes fonsecensis","Trinectes","fonsecensis",9047,516,"demersal",60,25,"TL",13441
"161","Trinectes hubbsbollinger","Trinectes","hubbsbollinger",91752,516,"demersal",NA,7.04,"SL",67073
"162","Trinectes inscriptus","Trinectes","inscriptus",7251,516,"demersal",NA,15,"TL",4259
"163","Trinectes maculatus","Trinectes","maculatus",7251,516,"demersal",75,20,"TL",4260
"164","Trinectes microphthalmus","Trinectes","microphthalmus",36453,516,"demersal",NA,9.4,"TL",57934
"165","Trinectes opercularis","Trinectes","opercularis",9047,516,"demersal",NA,15,"TL",13442
"166","Trinectes paulistanus","Trinectes","paulistanus",5217,516,"demersal",16,18,"NG",7580
"167","Trinectes xanthurus","Trinectes","xanthurus",46206,516,"demersal",NA,NA,NA,60305
"168","Achiropsetta tricholepis","Achiropsetta","tricholepis",5000,523,"demersal",1186,39,"TL",7119
"169","Mancopsetta maculata","Mancopsetta","maculata",5000,523,"demersal",1115,50,"SL",7121
"170","Neoachiropsetta milfordi","Neoachiropsetta","milfordi",5000,523,"bathydemersal",1000,57,"SL",7122
"171","Pseudomancopsetta andriashevi","Pseudomancopsetta","andriashevi",5000,523,"demersal",365,11,"SL",7123
"172","Acipenser baerii","Acipenser","baerii",12255,32,"demersal",200,200,"TL",4683
"173","Acipenser brevirostrum","Acipenser","brevirostrum",5723,32,"demersal",53,143,"TL",2590
"174","Acipenser dabryanus","Acipenser","dabryanus",6866,32,"demersal",NA,250,"TL",8737
"175","Acipenser fulvescens","Acipenser","fulvescens",5723,32,"demersal",NA,274,"TL",2591
"176","Acipenser gueldenstaedtii","Acipenser","gueldenstaedtii",9953,32,"demersal",100,236,"TL",4712
"177","Acipenser medirostris","Acipenser","medirostris",5723,32,"demersal",80,270,"TL",2592
"178","Acipenser mikadoi","Acipenser","mikadoi",6866,32,"demersal",NA,150,"TL",9762
"179","Acipenser naccarii","Acipenser","naccarii",59043,32,"demersal",40,200,"TL",2504
"180","Acipenser nudiventris","Acipenser","nudiventris",3397,32,"demersal",60,200,"TL",2505
"181","Acipenser oxyrinchus","Acipenser","oxyrinchus",5723,32,"demersal",46,403,"TL",2593
"182","Acipenser persicus","Acipenser","persicus",59043,32,"demersal",NA,242,"TL",9763
"183","Acipenser ruthenus","Acipenser","ruthenus",6866,32,"demersal",NA,125,"TL",4604
"184","Acipenser schrenckii","Acipenser","schrenckii",3881,32,"demersal",NA,300,"TL",6085
"185","Acipenser sinensis","Acipenser","sinensis",6866,32,"demersal",NA,130,"TL",8762
"186","Acipenser stellatus","Acipenser","stellatus",3397,32,"demersal",100,220,"TL",2065
"187","Acipenser sturio","Acipenser","sturio",3397,32,"demersal",93,600,"TL",2066
"188","Acipenser transmontanus","Acipenser","transmontanus",5723,32,"demersal",122,610,"TL",2594
"189","Huso dauricus","Huso","dauricus",593,32,"demersal",50,560,"TL",4633
"190","Huso huso","Huso","huso",59043,32,"pelagic",180,800,"TL",2067
"191","Pseudoscaphirhynchus fedtschenkoi","Pseudoscaphirhynchus","fedtschenkoi",4537,32,"demersal",NA,65,"TL",8763
"192","Pseudoscaphirhynchus hermanni","Pseudoscaphirhynchus","hermanni",4537,32,"demersal",NA,27.5,"TL",8764
"193","Pseudoscaphirhynchus kaufmanni","Pseudoscaphirhynchus","kaufmanni",593,32,"demersal",NA,75,"TL",4634
"194","Scaphirhynchus albus","Scaphirhynchus","albus",3814,32,"demersal",NA,200,"TL",2595
"195","Scaphirhynchus platorynchus","Scaphirhynchus","platorynchus",3814,32,"demersal",NA,108,"TL",2596
"196","Scaphirhynchus suttkusi","Scaphirhynchus","suttkusi",33977,32,"demersal",NA,NA,NA,56264
"197","Acropoma argentistigma","Acropoma","argentistigma",44261,512,"pelagic-neritic",NA,NA,NA,59893
"198","Acropoma boholensis","Acropoma","boholensis",41631,512,"pelagic-neritic",NA,13.2,"SL",59419
"199","Acropoma hanedai","Acropoma","hanedai",96184,512,"benthopelagic",400,13.52,"SL",9232
"200","Acropoma japonicum","Acropoma","japonicum",7300,512,"bathypelagic",500,20,"TL",1267
"201","Acropoma lecorneti","Acropoma","lecorneti",41531,512,"bathypelagic",360,35,"FL",59169
"202","Acropoma profundum","Acropoma","profundum",96184,512,"bathypelagic",1203,NA,NA,67353
"203","Apogonops anomalus","Apogonops","anomalus",33616,512,"demersal",600,15,"SL",14356
"204","Doederleinia berycoides","Doederleinia","berycoides",7300,512,"demersal",600,40,"TL",4599
"205","Malakichthys barbatus","Malakichthys","barbatus",40964,512,"bathypelagic",600,18.01,"SL",58590
"206","Malakichthys elegans","Malakichthys","elegans",7300,512,"bathypelagic",208,20,"SL",10446
"207","Malakichthys griseus","Malakichthys","griseus",637,512,"pelagic-oceanic",NA,15,"TL",11947
"208","Malakichthys levis","Malakichthys","levis",44351,512,"bathypelagic",256,15.9,"SL",59902
"209","Malakichthys mochizuki","Malakichthys","mochizuki",44351,512,"bathypelagic",360,14,"SL",59903
"210","Malakichthys similis","Malakichthys","similis",76883,512,"bathypelagic",391,15,"SL",64093
"211","Malakichthys wakiyae","Malakichthys","wakiyae",559,512,"pelagic-neritic",200,15,"TL",9233
"212","Neoscombrops atlanticus","Neoscombrops","atlanticus",34711,512,"pelagic-oceanic",192,13.4,"SL",56759
"213","Neoscombrops cynodon","Neoscombrops","cynodon",2710,512,"bathypelagic",550,21,"SL",23664
"214","Neoscombrops pacificus","Neoscombrops","pacificus",36028,512,"demersal",500,40,"TL",23391
"215","Synagrops adeni","Synagrops","adeni",3288,512,"bathydemersal",600,11,"TL",1269
"216","Synagrops analis","Synagrops","analis",559,512,"demersal",NA,10,"SL",23389
"217","Synagrops argyreus","Synagrops","argyreus",58302,512,"benthopelagic",545,NA,NA,53971
"218","Synagrops bellus","Synagrops","bellus",43234,512,"bathydemersal",910,23,"SL",3311
"219","Synagrops japonicus","Synagrops","japonicus",2710,512,"benthopelagic",800,35,"SL",357
"220","Synagrops malayanus","Synagrops","malayanus",41531,512,"demersal",247,NA,NA,59171
"221","Synagrops microlepis","Synagrops","microlepis",6916,512,"bathypelagic",500,16.5,"SL",5059
"222","Synagrops philippinensis","Synagrops","philippinensis",6192,512,"bathydemersal",220,13,"TL",10338
"223","Synagrops pseudomicrolepis","Synagrops","pseudomicrolepis",43234,512,"bathydemersal",576,14.5,"SL",59756
"224","Synagrops serratospinosus","Synagrops","serratospinosus",559,512,"demersal",511,NA,NA,23386
"225","Synagrops spinosus","Synagrops","spinosus",43234,512,"bathydemersal",544,13,"TL",14336
"226","Synagrops trispinosus","Synagrops","trispinosus",43234,512,"bathydemersal",550,11.5,"TL",14337
"227","Verilus sordidus","Verilus","sordidus",9626,512,"demersal",NA,30,"TL",7545
"228","Adrianichthys kruyti","Adrianichthys","kruyti",7050,210,"pelagic",NA,16,"TL",6261
"229","Adrianichthys oophorus","Adrianichthys","oophorus",80012,210,"pelagic",NA,8.5,"TL",6262
"230","Adrianichthys poptae","Adrianichthys","poptae",80012,210,"pelagic",NA,17.1,"SL",6263
"231","Adrianichthys roseni","Adrianichthys","roseni",54508,210,"pelagic",NA,9,"SL",62166
"232","Oryzias asinua","Oryzias","asinua",94271,210,"benthopelagic",NA,2.68,"SL",67150
"233","Oryzias bonneorum","Oryzias","bonneorum",80012,210,"benthopelagic",NA,NA,NA,64835
"234","Oryzias carnaticus","Oryzias","carnaticus",27658,210,"benthopelagic",NA,3,"SL",50267
"235","Oryzias celebensis","Oryzias","celebensis",7050,210,"benthopelagic",NA,4.5,"TL",12252
"236","Oryzias curvinotus","Oryzias","curvinotus",27139,210,"benthopelagic",NA,4,"TL",49577
"237","Oryzias dancena","Oryzias","dancena",27658,210,"benthopelagic",NA,3.12,"SL",50265
"238","Oryzias eversi","Oryzias","eversi",91779,210,"benthopelagic",NA,3.62,"SL",66685
"239","Oryzias hadiatyae","Oryzias","hadiatyae",85098,210,"benthopelagic",NA,4.03,"SL",65776
"240","Oryzias haugiangensis","Oryzias","haugiangensis",27658,210,"benthopelagic",NA,2.08,"SL",50271
"241","Oryzias hubbsi","Oryzias","hubbsi",27658,210,"benthopelagic",NA,2.13,"SL",50272
"242","Oryzias javanicus","Oryzias","javanicus",27658,210,"benthopelagic",NA,4.5,"TL",12254
"243","Oryzias latipes","Oryzias","latipes",27658,210,"benthopelagic",NA,3.2,"SL",4669
"244","Oryzias luzonensis","Oryzias","luzonensis",27139,210,"benthopelagic",NA,4,"TL",5162
"245","Oryzias marmoratus","Oryzias","marmoratus",7050,210,"benthopelagic",NA,4.09,"SL",6265
"246","Oryzias matanensis","Oryzias","matanensis",7050,210,"benthopelagic",NA,5.5,"TL",6266
"247","Oryzias mekongensis","Oryzias","mekongensis",27139,210,"benthopelagic",NA,3,"TL",26794
"248","Oryzias melastigma","Oryzias","melastigma",41236,210,"benthopelagic",NA,4,"TL",64642
"249","Oryzias minutillus","Oryzias","minutillus",27139,210,"benthopelagic",NA,2,"TL",26983
"250","Oryzias nebulosus","Oryzias","nebulosus",54508,210,"benthopelagic",NA,3.3,"SL",62167
"251","Oryzias nigrimas","Oryzias","nigrimas",7050,210,"benthopelagic",NA,4.72,"SL",6267
"252","Oryzias orthognathus","Oryzias","orthognathus",7050,210,"benthopelagic",NA,6.5,"TL",6268
"253","Oryzias pectoralis","Oryzias","pectoralis",27658,210,"benthopelagic",NA,2.23,"SL",50270
"254","Oryzias profundicola","Oryzias","profundicola",26687,210,"benthopelagic",NA,6,"TL",6269
"255","Oryzias sakaizumii","Oryzias","sakaizumii",89067,210,"pelagic",NA,3.67,"SL",66418
"256","Oryzias sarasinorum","Oryzias","sarasinorum",80012,210,"pelagic",NA,8,"TL",6264
"257","Oryzias setnai","Oryzias","setnai",80012,210,"pelagic",NA,3,"TL",4592
"258","Oryzias sinensis","Oryzias","sinensis",26717,210,"benthopelagic",NA,3.1,"SL",52632
"259","Oryzias songkhramensis","Oryzias","songkhramensis",84389,210,"pelagic",NA,1.9,"SL",65577
"260","Oryzias timorensis","Oryzias","timorensis",27139,210,"benthopelagic",NA,4,"TL",49578
"261","Oryzias uwai","Oryzias","uwai",27658,210,"benthopelagic",NA,1.61,"SL",50269
"262","Oryzias wolasi","Oryzias","wolasi",94271,210,"benthopelagic",NA,2.86,"SL",67151
"263","Oryzias woworae","Oryzias","woworae",84259,210,"pelagic",NA,2.8,"SL",65542
"264","Agonomalus jordani","Agonomalus","jordani",559,283,"demersal",105,18,"TL",23989
"265","Agonomalus mozinoi","Agonomalus","mozinoi",2850,283,"demersal",11,8.9,"TL",4150
"266","Agonomalus proboscidalis","Agonomalus","proboscidalis",9137,283,"demersal",102,20,"TL",13066
"267","Agonopsis asperoculis","Agonopsis","asperoculis",51659,283,"demersal",20,NA,NA,62091
"268","Agonopsis chiloensis","Agonopsis","chiloensis",27363,283,"demersal",400,12.5,"SL",12932
"269","Agonopsis sterletus","Agonopsis","sterletus",37955,283,"demersal",91,15,"TL",4151
"270","Agonopsis vulsa","Agonopsis","vulsa",2850,283,"demersal",163,20,"TL",4152
"271","Agonus cataphractus","Agonus","cataphractus",40,283,"demersal",270,21,"TL",36
"272","Anoplagonus inermis","Anoplagonus","inermis",2850,283,"demersal",102,15,"TL",4155
"273","Anoplagonus occidentalis","Anoplagonus","occidentalis",559,283,"demersal",278,10,"SL",24010
"274","Aspidophoroides monopterygius","Aspidophoroides","monopterygius",7251,283,"demersal",695,22,"TL",4157
"275","Aspidophoroides olrikii","Aspidophoroides","olrikii",4700,283,"demersal",520,8.6,"TL",4158
"276","Bathyagonus alascanus","Bathyagonus","alascanus",2850,283,"demersal",252,13,"TL",4159
"277","Bathyagonus infraspinatus","Bathyagonus","infraspinatus",2850,283,"demersal",183,12,"TL",4160
"278","Bathyagonus nigripinnis","Bathyagonus","nigripinnis",28197,283,"demersal",1290,24.2,"TL",4161
