"","Acanthostracion quadricornis","Acanthurus coeruleus","Anthias asperilinguis","Antilligobius nikkiae","Apogon gouldi","Apogon lachneri","Apsilus dentatus","Aulopus filamentosus","Bembrops sp.","Bodianus pulchellus","Bodianus rufus","Bullisichthys caribbaeus","Canthigaster jamestyleri","Canthigaster rostrata","Carangoides ruber","Caranx lugubris","Centropyge argi","Cephalopholis cruentata","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Chaunax pictus","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis scotti","Clepticus parrae","Corniger spinosus","Coryphopterus personatus","Decapterus sp.","Elacatinus chancei","Epigonidae","Epinephalus striatus","Etelis oculatus","Flammeo marianus","Gephyroberyx darwinii","Gnatholepis thompsoni","Gonioplectrus hispanus","Gramma linki","Gramma loreto","Gramma melacara","Haemulon bonariense","Haemulon flavolineatum","Haemulon plumierii","Haemulon striatum","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres pictus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus rufus","Hypoplectrus nigricans","Jeboehlkia gladifer","Lachnolaimus maximus","Lactophrys trigonus","Liopropoma aberrans","Liopropoma mowbrayi","Liopropoma olneyi","Liopropoma santi","Lipogramma evides","Lipogramma flavescens","Lipogramma idabeli","Lipogramma klayi","Lipogramma levinsoni","Malacanthus plumieri","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca tigris","Myctoperca bonaci","Ocyurus chrysurus","Opistognathus aurifrons","Opistognathus schrieri","Ostichthys trachypoma","Palatogobius grandoculus","Palatogobius incendius","Palatogobius paradoxus","Plectranthias garrupellus","Polylepion sp.","Pomacanthus arcuatus","Pomacanthus paru","Pontinus castor","Priacanthus arenatus","Pristigenys alta","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Pseudupeneus maculatus","Ptereleotris helenae","Pterois volitans","Rypticus saponaceus","Sargocentron poco","Scarus iseri","Scarus taeniopterus","Scarus viride","Seriola dumerili","Serranus luciopercanus","Serranus tabacarrius","Serranus tortugarum","Sparisoma atomarium","Sparisoma aurofrenatum","Sparisoma viride","Sphyraena barracuda","Stegastes partitus","Stegastes xanthurus","Symphysanodon berryi","Symphysanodon octoactinus","Synagrops bellus","Thalassoma bifasciatum","Trachinotus goodei","Varicus adamsi","Varicus veliguttatus","Verilus sordidus","Vomerogobius flavus"
"140",0,0,0,22.1032393874292,0,0,0,0,0,0,0,1.94608171513942,7.0166974101781,7.78432686055769,0,1.94608171513942,0,0,0,0,0,0,0,0,0,3.89216343027885,2.75217515503647,0,0,0,0,0,0,0,0,0,1.94608171513942,0,0,0,0,0,0,0,0,0,9.53381439970383,0,0,0,0,0,0,1.94608171513942,0,0,0,0,2.75217515503647,1.94608171513942,0,0,0,0,0,1.94608171513942,1.94608171513942,1.94608171513942,0,0,0,0,0,0,0,0,28.865056543163,8.9180667681959,0,0,0,0,0,0,1.94608171513942,1.94608171513942,0,0,3.37071240630226,0,2.75217515503647,3.89216343027885,0,0,0,0,0,0,3.37071240630226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,2.01133153557538,2.8444523360394,0,0,0,0,0,0,0,0,4.02266307115075,0,0,0,0,0,0,0,0,0,0,0,3.48372841048208,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8444523360394,0,0,0,0,0,0,0,0,0,0,0,6.67083203251289,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1469630435145,39.1564461223692,0,2.01133153557538,0,0,0,0,2.8444523360394,4.02266307115075,0,0,0,0,0,3.48372841048208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,4.02266307065357,0,0,0,0,1.79898961531188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79898961531188,0,0,0,2.54415551254242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54415551254242,0,0,0,0,0,0,0,1.79898961531188,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0,0,0,0,0,31.1594141600897,36.2039676358821,0,0,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0
"170",0,0,0,4.52324774028573,0,0,0,0,0,0,0,0,1.43037652805127,0,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43037652805127,0,0,0,0,2.02285788527024,0,0,2.86075305610254,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02285788527024,24.7748482053877,20.4798751817485,0,0,0,0,0,0,0,1.43037652805127,0,0,0,0,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53982447194855,0,0,0,0,0,0,0
"180",0,0,0,5.35814122807527,0,0,0,0,2.3962336038041,0,0,0,0,0,4.79246720760821,3.38878606111392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3962336038041,0,0,0,2.3962336038041,0,0,0,0,0,0,0,0,0,0,0,0,4.15039834859258,0,16.7736352266287,0,0,0,0,0,3.38878606111392,0,0,0,0,0,0,0,0,0,2.3962336038041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2184419049239,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40715360000103,3.934242096262,3.40715360000103,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20451309211534,0,0,0,0,1.967121048131,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,1.65482976103284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,4.37826800984133,8.75653601968267,12.0473425083709,0,0,0,0,0,1.65482976103284,0,0,0,1.65482976103284,0,0,0,2.34028269147127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70031183685916,7.76183959097326,2.86624922398594,0,0,0,1.65482976103284,0,0
"210",0,0,0,0,0,0,0,0,4.11732691828084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5657097069167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05866345914042,2.91138978427829,0,0,0,0,0,0,0,0,0,0,0,4.11732691828084,8.48808688963538,0,0,0,0,0,0,2.05866345914042,0,0,0,0,0,0,0,2.05866345914042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20662287486568,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72335577330616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92570333488832,0,0,0,0,0,0,0,0,0,0,1.92570333488832,1.92570333488832,4.7169905664523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92570333488832,3.85140666977664,0,0,0,0,3.85140666977664,0,0
"230",0,0,1.78285485331813,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,3.08799518846775,0,0,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78285485331813,0,3.56570970663625,3.08799518846775,0,0,0,0,0,0,0,0,0,0,0,3.08799518846775,4.7169905656043,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,1.78285485331813,5.63788207397069,0,0,0,0,1.78285485331813,0,0
"240",0,0,0,0,0,0,0,0,2.61651559292124,0,0,0,0,0,0,1.85015591883495,0,0,0,0,0,0,1.85015591883495,2.61651559292124,0,0,0,0,0,0,0,0,0,0,0,1.85015591883495,0,1.85015591883495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20456405334641,1.85015591883495,0,0,0,0,0,0,0,0,0,0,0,3.7003118376699,5.85070672996007,0,3.7003118376699,0,2.61651559292124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20456405334641,1.85015591883495,0,0,1.85015591883495,1.85015591883495,1.85015591883495,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43866863523189,0,0,0,0,0,0,0,2.03458469570574,0,0,0,0,0,0,0,0,0,0,0,2.03458469570574,0,1.43866863523189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43866863523189,0,0,0,0,1.43866863523189,1.43866863523189,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49184717147742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18719353273039,1.43866863523189,2.49184717147742,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59990262663816,0,0,0,0,0,0,0,0,0,4.24562321079014,0,0,0,2.59990262663816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50105448135636,0,1.50105448135636,0,0,0,0,0,0,0,0,0,0,0,3.3564598582435,3.00210896271271,0,0,1.50105448135636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71291971648701,1.50105448135636,0,0,0,0,1.50105448135636,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74165738677394,0,0,0,0,0,0,0,0,0,2.82842712474619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,0,0,1.4142135623731,1.4142135623731,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,1.4142135623731,0,0,0,0,1.4142135623731,0,0
"280",0,0,2.01133153557538,0,0,0,0,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92673596572822,0,0,0,4.02266307115075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8444523360394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01133153557538,4.92673596572822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01133153557538,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8642295302532,0,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80230997107743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61791441615433,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2880765100844,1.61791441615433,1.61791441615433,0,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0654107819003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28807651052145,0,0,0,0,3.23582883292674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28807651052145,0,0,0,0,0,0,0,0
