species,Benthic macroalgae,Benthic microalgae,Bony fishes,Detritus,Ectoparasites,Hard corals,Insects,Mobile benthic crustacea (shrimps/crabs),Mobile benthic gastropods/bivalves,Mobile benthic worms,Octopus/squid/cuttlefish,Pelagic crustacea,Pelagic fish eggs,Pelagic fish larvae,Pelagic jellyfish/ctenophores,Phytoplankton,Sea snakes/mammals/turtles/birds,Sea-stars/cucumbers/urchins,Sessile crustacea,Sessile molluscs,Sessile worms,Sharks/rays,Soft corals/hydroids,Sponges/seasquirts/bryozoa,Terrestrial plants,Zooplankton
Apogon pseudomaculatus,,,x,,,,,,,,,,,,,,,,,,,,,,,x
Apogon quadrisquamatus,,,,,,,,,,,,,,,,,,,,,,,,,,x
Apogon robbyi,,,,,,,,,,,,,,,,,,,,,,,,,,x
Apogon robinsi,,,,,,,,,,,,,,,,,,,,,,,,,,x
Apogon townsendi,,,,,,,,,,,,,,,,,,,,,,,,,,x
Astrapogon alutus,,,,,,,,x,,,,,,,,,,,,,,,,,,
Astrapogon puncticulatus,,,,,,,,x,,,,,,,,,,,,,,,,,,
Astrapogon stellatus,,,,,,,,x,,,,,,,,,,,,,,,,,,
Paroncheilus affinis,,,,,,,,,,,,,,,,,,,,,,,,,,x
Phaeoptyx conklini,,,,,,,,,,,,,x,,,,,,,,,,,,,x
Phaeoptyx pigmentaria,,,,,,,,,,,,,,,,,,,,,,,,,,x
Phaeoptyx xenus,,,,,,,,,,,,,,,,,,,,,,,,,,x
Zapogon evermanni,,,,,,,,,,,,,,,,,,,,,,,,,,x
Argentinidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina striata,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Glossanodon pygmaeus,,,,,,,,x,,,,,,,,,,,,,,,,,,
Arhynchobatidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudoraja fischeri,,x,,,,,x,,,x,,,,,,,,,,,,,,,,
Ariidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariopsis assimilis,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Ariopsis canteri,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Ariopsis felis,,,x,,,,,x,,,,,,,,,,,,,,,,x,,
Bagre bagre,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Bagre marinus,,,x,,,,,x,x,,,,,,,,,x,,,,,,,,
Cathorops aguadulce,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops arenatus,,,x,,,,x,,,x,,,,,,,,,,,,,,,,
Cathorops belizensis,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops higuchii,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops kailolae,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops mapale,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops melanopus,,,x,,,,x,x,,,,,,,,,,,,,,,,,,
Cathorops nuchalis,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Cathorops wayuu,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Notarius grandicassis,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Notarius neogranatensis,,,,,,,x,,x,x,,,,,,,,,,,,,,,,
Notarius phrygiatus,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Notarius quadriscutis,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Notarius rugispinis,,,,,,,,x,x,x,,,,,,,,,,,,,,,,
Sciades couma,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,
Sciades herzbergii,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Sciades parkeri,,,x,,,,,x,x,x,,,,,,,,x,,,,,,,,
Sciades passany,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,
Sciades proops,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,
Ariommatidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariomma bondi,,,,,,,,x,,x,x,,,,,,,,,,,,,,,x
