species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Vladichthys gloverensis,x,,,,
Belonidae,,,,,
Ablennes hians,,,,x,x
Platybelone argalus argalus,,,,x,x
Strongylura marina,,,,x,x
Strongylura notata,,,,x,x
Strongylura timucu,,,,x,x
Tylosurus acus acus,,,,x,x
Tylosurus crocodilus crocodilus,,x,x,x,x
Berycidae,,,,,
Beryx decadactylus,x,x,x,,
Beryx splendens,,x,x,x,
Blenniidae,,,,,
Chasmodes bosquianus,x,,,,
Chasmodes longimaxilla,x,,,,
Chasmodes saburrae,x,,,,
Entomacrodus nigricans,x,,,,
Hypleurochilus bermudensis,x,,,,
Hypleurochilus caudovittatus,x,,,,
Hypleurochilus geminatus,x,,,,
Hypleurochilus multifilis,x,,,,
Hypleurochilus pseudoaequipinnis,x,,,,
Hypleurochilus springeri,x,,,,
Hypsoblennius exstochilus,x,,,,
Hypsoblennius hentz,x,,,,
Hypsoblennius invemar,x,,,,
Hypsoblennius ionthas,x,,,,
Lupinoblennius nicholsi,x,,,,
Lupinoblennius vinctus,x,,,,
Omobranchus punctatus,x,,,,
Ophioblennius macclurei,x,,,,
Parablennius marmoreus,x,,,,
Scartella cristata,x,,,,
Bothidae,,,,,
Bothus lunatus,x,,,,
Bothus maculiferus,x,,,,
Bothus ocellatus,x,,,,
Bothus robinsi,x,,,,
Chascanopsetta danae,x,,,,
Chascanopsetta lugubris,x,,,,
Engyophrys senta,x,,,,
Monolene atrimana,x,,,,
Monolene megalepis,x,,,,
Monolene sessilicauda,x,,,,
Trichopsetta caribbaea,x,,,,
Trichopsetta melasma,x,,,,
Trichopsetta orbisulcus,x,,,,
Trichopsetta ventralis,x,,,,
Bramidae,,,,,
Brama brama,,x,,x,x
Brama caribbea,,x,,x,x
Brama dussumieri,,x,,x,x
Eumegistus brevorti,,x,x,,
Pteraclis carolinus,,x,,x,
Pterycombus brama,,x,,x,
Taractes rubescens,,x,x,x,x
Taractichthys longipinnis,,x,,x,
Bregmacerotidae,,,,,
Bregmaceros atlanticus,,x,x,,
Bregmaceros cantori,,x,x,,
Bregmaceros houdei,,x,x,,
Bythitidae,,,,,
Calamopteryx goslinei,x,,,,
Calamopteryx robinsorum,x,,,,
Grammonus claudei,x,,,,
Lucifuga lucayana,x,,x,,
Lucifuga simile,x,,x,,
Lucifuga spelaeotes,x,,x,,
Parasaccogaster melanomycter,x,,,,
Stygnobrotula latebricola,x,,,,
Callionymidae,,,,,
Callionymus bairdi,x,,,,
Diplogrammus pauciradiatus,x,,,,
Foetorepus agassizii,x,,,,
Foetorepus dagmarae,x,,,,
Foetorepus goodenbeani,x,,,,
Caproidae,,,,,
Antigonia capros,x,,x,,
Antigonia combatia,x,,x,,
Carangidae,,,,,
Alectis ciliaris,x,x,x,,
Caranx bartholomaei,x,x,x,x,x
Caranx crysos,x,x,x,x,x
Caranx hippos,x,x,x,x,x
Caranx latus,x,x,,x,x
Caranx lugubris,x,x,x,,
Caranx ruber,x,,x,x,x
Chloroscombrus chrysurus,,x,x,x,
Decapterus macarellus,,x,,x,x
Decapterus punctatus,,x,,,x
Decapterus tabl,,x,x,x,x
Elagatis bipinnulata,,x,,x,x
Gnathanodon speciosus,x,x,x,,
Hemicaranx amblyrhynchus,,x,x,x,x
Naucrates ductor,,x,,x,
Oligoplites palometa,x,x,,x,x
Oligoplites saliens,x,x,,x,x
Oligoplites saurus saurus,x,x,x,x,x
Pseudocaranx dentex,x,x,x,x,
Selar crumenophthalmus,,,,x,x
Selene brownii,x,,x,,
Selene setapinnis,x,,x,,
Selene vomer,x,x,,,
Seriola dumerili,x,x,x,x,x
Seriola fasciata,x,x,x,x,x
Seriola rivoliana,x,x,x,x,
Seriola zonata,x,x,x,x,x
Trachinotus carolinus,x,x,,x,
Trachinotus cayennensis,x,x,x,x,
Trachinotus falcatus,x,x,x,x,
Trachinotus goodei,x,x,x,x,x
Trachurus lathami,,x,,x,x
Uraspis secunda,,x,,x,x
Carapidae,,,,,
Carapus bermudensis,x,,,,
Echiodon dawsoni,x,,,,
Carcharhinidae,,,,,
Carcharhinus acronotus,x,x,x,,
Carcharhinus altimus,,,x,,
Carcharhinus brachyurus,,x,x,x,x
Carcharhinus brevipinna,,x,,x,x
Carcharhinus falciformis,,x,,x,x
Carcharhinus galapagensis,x,x,x,x,x
Carcharhinus isodon,x,x,x,x,
Carcharhinus leucas,x,x,x,x,x
Carcharhinus limbatus,x,x,x,x,x
Carcharhinus longimanus,,x,,x,x
Carcharhinus obscurus,,x,x,x,x
Carcharhinus perezii,x,x,x,x,
Carcharhinus plumbeus,x,x,x,,
Carcharhinus porosus,x,x,x,,
Carcharhinus signatus,x,x,x,x,x
Galeocerdo cuvier,x,x,x,x,x
Isogomphodon oxyrhynchus,x,,x,,
Negaprion brevirostris,x,x,x,,
Prionace glauca,,x,,x,x
Rhizoprionodon lalandii,x,,x,,
Rhizoprionodon porosus,x,x,x,x,
Rhizoprionodon terraenovae,x,,x,,
Centriscidae,,,,,
Macroramphosus gracilis,,x,x,x,
Macroramphosus scolopax,x,x,x,x,
Centrolophidae,,,,,
Hyperoglyphe bythites,,x,x,x,x
Hyperoglyphe perciformis,,x,x,x,x
Schedophilus ovalis,x,x,x,,
Schedophilus pemarco,x,x,x,,
Centrophoridae,,,,,
Centrophorus granulosus,x,,x,,
Centrophorus squamosus,x,,,,
Centrophorus tessellatus,x,,,,
Deania calcea,x,x,,,
Deania profundorum,x,x,x,,
Centropomidae,,,,,
Centropomus ensiferus,x,x,x,,
Centropomus mexicanus,x,x,x,,
Centropomus parallelus,x,x,x,,
Centropomus pectinatus,x,x,x,,
Centropomus poeyi,x,x,x,,
Centropomus undecimalis,x,x,x,,
Cetorhinidae,,,,,
