name,meters,location
Jeboehlkia gladifer,163,Bonaire
Liopropoma aberrans,163,Bonaire
Liopropoma olneyi,163,Bonaire
Pinnichthys aimoriensis,163,Bonaire
Serranus notospilus,163,Bonaire
Varicus decorum,163,Bonaire
Varicus decorum,163,Bonaire
Caulolatilus dooleyi,162,Bonaire
Chrionema squamentum,162,Bonaire
Chrionema squamentum,162,Bonaire
Physiculus fulvus,162,Bonaire
Pristigenys alta,162,Bonaire
Pristigenys alta,162,Bonaire
Pronotogrammus martinicensis,162,Bonaire
Pronotogrammus martinicensis,162,Bonaire
Serranus phoebe,162,Bonaire
Symphysanodon octoactinus,162,Bonaire
Symphysanodon octoactinus,162,Bonaire
Varicus decorum,162,Bonaire
Gonioplectrus hispanus,161,Bonaire
Jeboehlkia gladifer,161,Bonaire
Ogcocephalus parvus,161,Bonaire
Pristigenys alta,161,Bonaire
Pristipomoides aquilonaris,161,Bonaire
Pronotogrammus martinicensis,161,Bonaire
Pronotogrammus martinicensis,161,Bonaire
Serranus phoebe,161,Bonaire
Symphysanodon octoactinus,161,Bonaire
Symphysanodon octoactinus,161,Bonaire
Symphysanodon octoactinus,161,Bonaire
Varicus decorum,161,Bonaire
Varicus decorum,161,Bonaire
Varicus decorum,161,Bonaire
Chrionema squamentum,160,Bonaire
Pristigenys alta,160,Bonaire
Pronotogrammus martinicensis,160,Bonaire
Pronotogrammus martinicensis,160,Bonaire
Pronotogrammus martinicensis,160,Bonaire
Serranus notospilus,160,Bonaire
Varicus decorum,160,Bonaire
Corniger spinosus,159,Bonaire
Corniger spinosus,159,Bonaire
Corniger spinosus,159,Bonaire
Corniger spinosus,159,Bonaire
Corniger spinosus,159,Bonaire
Gonioplectrus hispanus,159,Bonaire
Gonioplectrus hispanus,159,Bonaire
Lipogramma evides,159,Bonaire
Symphysanodon octoactinus,159,Bonaire
Symphysanodon octoactinus,159,Bonaire
Symphysanodon octoactinus,159,Bonaire
Decodon shallow,158,Bonaire
Gonioplectrus hispanus,158,Bonaire
Gonioplectrus hispanus,158,Bonaire
Gonioplectrus hispanus,158,Bonaire
Gonioplectrus hispanus,158,Bonaire
Gonioplectrus hispanus,158,Bonaire
Jeboehlkia gladifer,158,Bonaire
Liopropoma olneyi,158,Bonaire
Prognathodes guyanensis,158,Bonaire
