name,meters,location
Chromis multilineata,45.72,St. Eustatius
Chromis multilineata,45.72,St. Eustatius
Chromis multilineata,45.72,St. Eustatius
Chromis multilineata,45.72,St. Eustatius
Epinephelus adscensionis,45.72,St. Eustatius
Scarus taeniopterus,45.72,St. Eustatius
Sparisoma viride,45.72,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Clepticus parrae,46.0248,St. Eustatius
Holocentrus rufus,46.0248,St. Eustatius
Holocentrus rufus,46.0248,St. Eustatius
Holocentrus rufus,46.0248,St. Eustatius
Holocentrus rufus,46.0248,St. Eustatius
Stegastes partitus,46.0248,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Chromis insolata,46.3296,St. Eustatius
Chromis cyanea,46.3296,St. Eustatius
Scarus taeniopterus,46.3296,St. Eustatius
Scarus taeniopterus,46.3296,St. Eustatius
Scarus taeniopterus,46.3296,St. Eustatius
Scarus taeniopterus,46.3296,St. Eustatius
Scarus taeniopterus,46.3296,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis cyanea,46.6344,St. Eustatius
Chromis multilineata,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Halichoeres garnoti,46.6344,St. Eustatius
Scarus taeniopterus,46.6344,St. Eustatius
Scarus taeniopterus,46.6344,St. Eustatius
Scarus taeniopterus,46.6344,St. Eustatius
Thalassoma bifasciatum,46.6344,St. Eustatius
Chromis cyanea,46.9392,St. Eustatius
Chromis cyanea,46.9392,St. Eustatius
Chromis multilineata,46.9392,St. Eustatius
Prognathodes aculeatus,46.9392,St. Eustatius
Prognathodes aculeatus,46.9392,St. Eustatius
Scarus taeniopterus,46.9392,St. Eustatius
Canthidermis sufflamen,47.244,St. Eustatius
Canthidermis sufflamen,47.244,St. Eustatius
Canthidermis sufflamen,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Clepticus parrae,47.244,St. Eustatius
Malacanthus plumieri,47.244,St. Eustatius
Paranthias furcifer,47.244,St. Eustatius
Paranthias furcifer,47.244,St. Eustatius
Sparisoma aurofrenatum,47.244,St. Eustatius
Chromis multilineata,47.5488,St. Eustatius
Halichoeres garnoti,47.5488,St. Eustatius
Scarus taeniopterus,47.5488,St. Eustatius
Sparisoma viride,47.5488,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Chromis cyanea,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Clepticus parrae,47.8536,St. Eustatius
Stegastes partitus,47.8536,St. Eustatius
Stegastes partitus,47.8536,St. Eustatius
Stegastes partitus,47.8536,St. Eustatius
Cephalopholis cruentata,48.1584,St. Eustatius
Chromis cyanea,48.1584,St. Eustatius
Chromis cyanea,48.1584,St. Eustatius
Chromis cyanea,48.1584,St. Eustatius
Chromis cyanea,48.1584,St. Eustatius
Chromis cyanea,48.1584,St. Eustatius
Stegastes partitus,48.1584,St. Eustatius
Acanthurus coeruleus,48.4632,St. Eustatius
Chromis insolata,48.4632,St. Eustatius
Chromis insolata,48.4632,St. Eustatius
Halichoeres garnoti,48.4632,St. Eustatius
Serranus tabacarius,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Serranus tortugarum,48.4632,St. Eustatius
Stegastes partitus,48.768,St. Eustatius
Stegastes partitus,48.768,St. Eustatius
Chromis cyanea,49.0728,St. Eustatius
Chromis cyanea,49.0728,St. Eustatius
Chromis cyanea,49.0728,St. Eustatius
Chromis cyanea,49.0728,St. Eustatius
Chromis cyanea,49.0728,St. Eustatius
Prognathodes aculeatus,49.0728,St. Eustatius
Scarus taeniopterus,49.0728,St. Eustatius
Scarus taeniopterus,49.0728,St. Eustatius
Stegastes partitus,49.0728,St. Eustatius
Stegastes partitus,49.0728,St. Eustatius
Stegastes partitus,49.0728,St. Eustatius
Stegastes partitus,49.0728,St. Eustatius
Stegastes partitus,49.0728,St. Eustatius
Centropyge argi,49.6824,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Halichoeres garnoti,49.9872,St. Eustatius
Chromis cyanea,50.292,St. Eustatius
Chromis cyanea,50.292,St. Eustatius
Chromis cyanea,50.292,St. Eustatius
Holocentrus adscensionis,50.292,St. Eustatius
Scarus taeniopterus,50.292,St. Eustatius
Serranus tabacarius,50.292,St. Eustatius
Chromis cyanea,50.9016,St. Eustatius
Chromis cyanea,51.2064,St. Eustatius
Epinephelus guttatus,51.2064,St. Eustatius
Stegastes partitus,51.2064,St. Eustatius
Halichoeres garnoti,51.5112,St. Eustatius
Halichoeres garnoti,51.5112,St. Eustatius
Halichoeres garnoti,51.5112,St. Eustatius
Halichoeres garnoti,51.5112,St. Eustatius
Halichoeres garnoti,51.5112,St. Eustatius
Holacanthus tricolor,51.5112,St. Eustatius
Scarus taeniopterus,51.5112,St. Eustatius
Acanthurus tractus,51.816,St. Eustatius
Chaetodon capistratus,51.816,St. Eustatius
Chaetodon striatus,51.816,St. Eustatius
Scarus taeniopterus,51.816,St. Eustatius
Cephalopholis fulva,52.1208,St. Eustatius
Halichoeres garnoti,52.1208,St. Eustatius
Halichoeres garnoti,52.1208,St. Eustatius
Halichoeres garnoti,52.1208,St. Eustatius
Halichoeres garnoti,52.1208,St. Eustatius
Pomacanthus paru,52.1208,St. Eustatius
Pomacanthus paru,52.1208,St. Eustatius
Stegastes partitus,52.1208,St. Eustatius
Stegastes partitus,52.1208,St. Eustatius
Stegastes partitus,52.1208,St. Eustatius
Cephalopholis cruentata,52.4256,St. Eustatius
Stegastes partitus,52.4256,St. Eustatius
Stegastes partitus,52.4256,St. Eustatius
Stegastes partitus,52.4256,St. Eustatius
Chromis cyanea,52.7304,St. Eustatius
Chromis cyanea,52.7304,St. Eustatius
Chromis cyanea,52.7304,St. Eustatius
Chromis cyanea,52.7304,St. Eustatius
Chaetodon sedentarius,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Holocentrus adscensionis,53.0352,St. Eustatius
Canthidermis sufflamen,53.34,St. Eustatius
Chromis cyanea,53.34,St. Eustatius
Prognathodes aculeatus,53.34,St. Eustatius
Prognathodes aculeatus,53.34,St. Eustatius
Chaetodon capistratus,53.6448,St. Eustatius
Chromis cyanea,53.6448,St. Eustatius
Chromis cyanea,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
Serranus tortugarum,53.6448,St. Eustatius
